

---------------------------------------mobilenet  BUSQUEDA LOCAL  10%----------------------------------------------

Evaluación 1 -> 2024-11-02_20-02
Evaluación 2 -> 2024-11-02_20-02
Evaluación 3 -> 2024-11-02_20-02
Evaluación 4 -> 2024-11-02_20-02
Evaluación 5 -> 2024-11-02_20-02


---------------------------------------mobilenet  GENETICO  10%----------------------------------------------

Evaluación 1 -> 2024-11-02_20-02
Evaluación 2 -> 2024-11-02_20-02
Evaluación 3 -> 2024-11-02_20-02
Evaluación 4 -> 2024-11-02_20-02
Evaluación 5 -> 2024-11-02_20-02
Evaluación 6 -> 2024-11-02_20-02
Evaluación 7 -> 2024-11-02_20-02
Evaluación 8 -> 2024-11-02_20-02
Evaluación 9 -> 2024-11-02_20-02
Evaluación 10 -> 2024-11-02_20-02


---------------------------------------mobilenet  GENETICO2  10%----------------------------------------------

Evaluación 1 -> 2024-11-02_20-02
Evaluación 2 -> 2024-11-02_20-02
Evaluación 3 -> 2024-11-02_20-02
Evaluación 4 -> 2024-11-02_20-02
Evaluación 5 -> 2024-11-02_20-02
Evaluación 6 -> 2024-11-02_20-02
Evaluación 7 -> 2024-11-02_20-02
Evaluación 8 -> 2024-11-02_20-02
Evaluación 9 -> 2024-11-02_20-02
Evaluación 10 -> 2024-11-02_20-02


---------------------------------------mobilenet  GENETICO3  10%----------------------------------------------

Evaluación 1 -> 2024-11-02_20-02
Evaluación 2 -> 2024-11-02_20-02
Evaluación 3 -> 2024-11-02_20-02
Evaluación 4 -> 2024-11-02_20-02
Evaluación 5 -> 2024-11-02_20-02
