

---------------------------------------mobilenet  ALEATORIO  100%----------------------------------------------

Start time: 2025-03-17 09:42:40.575943 UTC
Evaluación 1 -> 2025-03-17 09:45:19.869640 UTC


---------------------------------------mobilenet  ALEATORIO  10%----------------------------------------------

Start time: 2025-03-17 09:47:39.447617 UTC
Evaluación 1 -> 2025-03-17 09:47:58.729852 UTC
Evaluación 2 -> 2025-03-17 09:48:18.070984 UTC
Evaluación 3 -> 2025-03-17 09:48:36.767568 UTC
Evaluación 4 -> 2025-03-17 09:48:55.782758 UTC
Evaluación 5 -> 2025-03-17 09:49:14.506617 UTC
Evaluación 6 -> 2025-03-17 09:49:34.275017 UTC
Evaluación 7 -> 2025-03-17 09:49:52.997885 UTC
Evaluación 8 -> 2025-03-17 09:50:12.043869 UTC
Evaluación 9 -> 2025-03-17 09:50:30.963269 UTC
Evaluación 10 -> 2025-03-17 09:50:49.578164 UTC
Evaluación 11 -> 2025-03-17 09:51:08.192770 UTC
Evaluación 12 -> 2025-03-17 09:51:27.626679 UTC
Evaluación 13 -> 2025-03-17 09:51:46.548729 UTC
Evaluación 14 -> 2025-03-17 09:52:05.653637 UTC
Evaluación 15 -> 2025-03-17 09:52:24.469549 UTC
Evaluación 16 -> 2025-03-17 09:52:44.027571 UTC
Evaluación 17 -> 2025-03-17 09:53:03.049282 UTC
Evaluación 18 -> 2025-03-17 09:53:22.395377 UTC
Evaluación 19 -> 2025-03-17 09:53:41.687500 UTC
Evaluación 20 -> 2025-03-17 09:54:01.301700 UTC
Evaluación 21 -> 2025-03-17 09:54:19.817291 UTC
Evaluación 22 -> 2025-03-17 09:54:38.029701 UTC
Evaluación 23 -> 2025-03-17 09:54:56.825715 UTC
Evaluación 24 -> 2025-03-17 09:55:16.104766 UTC
Evaluación 25 -> 2025-03-17 09:55:35.345758 UTC
Evaluación 26 -> 2025-03-17 09:55:54.711766 UTC
Evaluación 27 -> 2025-03-17 09:56:13.628118 UTC
Evaluación 28 -> 2025-03-17 09:56:32.853030 UTC
Evaluación 29 -> 2025-03-17 09:56:52.204550 UTC
Evaluación 30 -> 2025-03-17 09:57:10.790943 UTC
Evaluación 31 -> 2025-03-17 09:57:30.092162 UTC
Evaluación 32 -> 2025-03-17 09:57:49.911172 UTC
Evaluación 33 -> 2025-03-17 09:58:08.485854 UTC
Evaluación 34 -> 2025-03-17 09:58:28.620196 UTC
Evaluación 35 -> 2025-03-17 09:58:47.417878 UTC
Evaluación 36 -> 2025-03-17 09:59:06.353930 UTC
Evaluación 37 -> 2025-03-17 09:59:25.785621 UTC
Evaluación 38 -> 2025-03-17 09:59:44.751426 UTC
Evaluación 39 -> 2025-03-17 10:00:03.759724 UTC
Evaluación 40 -> 2025-03-17 10:00:22.042486 UTC
Evaluación 41 -> 2025-03-17 10:00:41.728651 UTC
Evaluación 42 -> 2025-03-17 10:01:00.579568 UTC
Evaluación 43 -> 2025-03-17 10:01:19.054120 UTC
Evaluación 44 -> 2025-03-17 10:01:38.448730 UTC
Evaluación 45 -> 2025-03-17 10:01:57.681592 UTC
Evaluación 46 -> 2025-03-17 10:02:16.914019 UTC
Evaluación 47 -> 2025-03-17 10:02:35.744363 UTC
Evaluación 48 -> 2025-03-17 10:02:55.504888 UTC
Evaluación 49 -> 2025-03-17 10:03:14.730930 UTC
Evaluación 50 -> 2025-03-17 10:03:33.776158 UTC
Evaluación 51 -> 2025-03-17 10:03:52.546686 UTC
Evaluación 52 -> 2025-03-17 10:04:11.872667 UTC
Evaluación 53 -> 2025-03-17 10:04:30.556930 UTC
Evaluación 54 -> 2025-03-17 10:04:49.379291 UTC
Evaluación 55 -> 2025-03-17 10:05:08.315625 UTC
Evaluación 56 -> 2025-03-17 10:05:27.523250 UTC
Evaluación 57 -> 2025-03-17 10:05:46.035121 UTC
Evaluación 58 -> 2025-03-17 10:06:05.739903 UTC
Evaluación 59 -> 2025-03-17 10:06:24.357763 UTC
Evaluación 60 -> 2025-03-17 10:06:43.875205 UTC
Evaluación 61 -> 2025-03-17 10:07:02.259277 UTC
Evaluación 62 -> 2025-03-17 10:07:20.930306 UTC
Evaluación 63 -> 2025-03-17 10:07:39.558121 UTC
Evaluación 64 -> 2025-03-17 10:07:59.047102 UTC
Evaluación 65 -> 2025-03-17 10:08:17.914942 UTC
Evaluación 66 -> 2025-03-17 10:08:36.948555 UTC
Evaluación 67 -> 2025-03-17 10:08:56.796837 UTC
Evaluación 68 -> 2025-03-17 10:09:16.190536 UTC
Evaluación 69 -> 2025-03-17 10:09:34.993893 UTC
Evaluación 70 -> 2025-03-17 10:09:53.673216 UTC
Evaluación 71 -> 2025-03-17 10:10:12.420104 UTC
Evaluación 72 -> 2025-03-17 10:10:31.749411 UTC
Evaluación 73 -> 2025-03-17 10:10:50.597456 UTC
Evaluación 74 -> 2025-03-17 10:11:09.874895 UTC
Evaluación 75 -> 2025-03-17 10:11:28.380155 UTC
Evaluación 76 -> 2025-03-17 10:11:47.040630 UTC
Evaluación 77 -> 2025-03-17 10:12:05.729623 UTC
Evaluación 78 -> 2025-03-17 10:12:24.235926 UTC
Evaluación 79 -> 2025-03-17 10:12:44.497512 UTC
Evaluación 80 -> 2025-03-17 10:13:03.005307 UTC
Evaluación 81 -> 2025-03-17 10:13:21.314334 UTC
Evaluación 82 -> 2025-03-17 10:13:39.909951 UTC
Evaluación 83 -> 2025-03-17 10:13:58.583151 UTC
Evaluación 84 -> 2025-03-17 10:14:17.231073 UTC
Evaluación 85 -> 2025-03-17 10:14:36.514787 UTC
Evaluación 86 -> 2025-03-17 10:14:55.708915 UTC
Evaluación 87 -> 2025-03-17 10:15:15.833202 UTC
Evaluación 88 -> 2025-03-17 10:15:34.336650 UTC
Evaluación 89 -> 2025-03-17 10:15:53.171355 UTC
Evaluación 90 -> 2025-03-17 10:16:12.662528 UTC
Evaluación 91 -> 2025-03-17 10:16:31.168232 UTC
Evaluación 92 -> 2025-03-17 10:16:49.679567 UTC
Evaluación 93 -> 2025-03-17 10:17:08.426042 UTC
Evaluación 94 -> 2025-03-17 10:17:27.547148 UTC
Evaluación 95 -> 2025-03-17 10:17:46.229925 UTC
Evaluación 96 -> 2025-03-17 10:18:05.010988 UTC
Evaluación 97 -> 2025-03-17 10:18:23.924050 UTC
Evaluación 98 -> 2025-03-17 10:18:43.411896 UTC
Evaluación 99 -> 2025-03-17 10:19:02.061051 UTC
Evaluación 100 -> 2025-03-17 10:19:20.874791 UTC


---------------------------------------mobilenet  ALEATORIO  25%----------------------------------------------

Start time: 2025-03-17 10:19:39.007027 UTC
Evaluación 1 -> 2025-03-17 10:20:18.136837 UTC
Evaluación 2 -> 2025-03-17 10:20:56.871268 UTC
Evaluación 3 -> 2025-03-17 10:21:35.407234 UTC
Evaluación 4 -> 2025-03-17 10:22:13.098681 UTC
