

---------------------------------------RPS  mobilenet  ALEATORIO  100%----------------------------------------------

Start time: 2025-03-28 08:50:52.218437 UTC
Evaluación 1 -> 2025-03-28 08:55:22.312978 UTC


---------------------------------------RPS  mobilenet  ALEATORIO  10%----------------------------------------------

Start time: 2025-03-28 08:58:16.430393 UTC
Evaluación 1 -> 2025-03-28 08:58:39.673207 UTC
Evaluación 2 -> 2025-03-28 08:59:01.910244 UTC
Evaluación 3 -> 2025-03-28 08:59:24.867687 UTC
Evaluación 4 -> 2025-03-28 08:59:47.796827 UTC
Evaluación 5 -> 2025-03-28 09:00:09.967759 UTC
Evaluación 6 -> 2025-03-28 09:00:33.085900 UTC
Evaluación 7 -> 2025-03-28 09:00:55.598151 UTC
Evaluación 8 -> 2025-03-28 09:01:18.256698 UTC
Evaluación 9 -> 2025-03-28 09:01:41.663525 UTC
Evaluación 10 -> 2025-03-28 09:02:04.634541 UTC
Evaluación 11 -> 2025-03-28 09:02:25.242011 UTC
Evaluación 12 -> 2025-03-28 09:02:48.449165 UTC
Evaluación 13 -> 2025-03-28 09:03:11.403636 UTC
Evaluación 14 -> 2025-03-28 09:03:32.789410 UTC
Evaluación 15 -> 2025-03-28 09:03:54.827997 UTC
Evaluación 16 -> 2025-03-28 09:04:17.048833 UTC
Evaluación 17 -> 2025-03-28 09:04:39.418376 UTC
Evaluación 18 -> 2025-03-28 09:05:01.569426 UTC
Evaluación 19 -> 2025-03-28 09:05:24.326701 UTC
Evaluación 20 -> 2025-03-28 09:05:46.242264 UTC
Evaluación 21 -> 2025-03-28 09:06:08.415911 UTC
Evaluación 22 -> 2025-03-28 09:06:30.603559 UTC
Evaluación 23 -> 2025-03-28 09:06:53.598090 UTC
Evaluación 24 -> 2025-03-28 09:07:16.039698 UTC
Evaluación 25 -> 2025-03-28 09:07:35.310008 UTC
Evaluación 26 -> 2025-03-28 09:07:49.734873 UTC
Evaluación 27 -> 2025-03-28 09:08:04.397214 UTC
Evaluación 28 -> 2025-03-28 09:08:19.172418 UTC
Evaluación 29 -> 2025-03-28 09:08:33.810504 UTC
Evaluación 30 -> 2025-03-28 09:08:48.731344 UTC
Evaluación 31 -> 2025-03-28 09:09:03.498148 UTC
Evaluación 32 -> 2025-03-28 09:09:18.212308 UTC
Evaluación 33 -> 2025-03-28 09:09:32.869953 UTC
Evaluación 34 -> 2025-03-28 09:09:47.594363 UTC
Evaluación 35 -> 2025-03-28 09:10:02.319348 UTC
Evaluación 36 -> 2025-03-28 09:10:16.881826 UTC
Evaluación 37 -> 2025-03-28 09:10:31.966154 UTC
Evaluación 38 -> 2025-03-28 09:10:46.868502 UTC
Evaluación 39 -> 2025-03-28 09:11:01.904136 UTC
Evaluación 40 -> 2025-03-28 09:11:16.628868 UTC
Evaluación 41 -> 2025-03-28 09:11:31.498475 UTC
Evaluación 42 -> 2025-03-28 09:11:46.305104 UTC
Evaluación 43 -> 2025-03-28 09:12:01.149993 UTC
Evaluación 44 -> 2025-03-28 09:12:16.269187 UTC
Evaluación 45 -> 2025-03-28 09:12:30.751563 UTC
Evaluación 46 -> 2025-03-28 09:12:45.536327 UTC
Evaluación 47 -> 2025-03-28 09:13:00.123070 UTC
Evaluación 48 -> 2025-03-28 09:13:15.921409 UTC
Evaluación 49 -> 2025-03-28 09:13:31.307580 UTC
Evaluación 50 -> 2025-03-28 09:13:45.866900 UTC
Evaluación 51 -> 2025-03-28 09:14:00.569571 UTC
Evaluación 52 -> 2025-03-28 09:14:15.281276 UTC
Evaluación 53 -> 2025-03-28 09:14:29.900097 UTC
Evaluación 54 -> 2025-03-28 09:14:44.675966 UTC
Evaluación 55 -> 2025-03-28 09:14:59.440779 UTC
Evaluación 56 -> 2025-03-28 09:15:14.104811 UTC
Evaluación 57 -> 2025-03-28 09:15:29.179687 UTC
Evaluación 58 -> 2025-03-28 09:15:44.253630 UTC
Evaluación 59 -> 2025-03-28 09:15:58.779148 UTC
Evaluación 60 -> 2025-03-28 09:16:13.261282 UTC
Evaluación 61 -> 2025-03-28 09:16:28.074282 UTC
Evaluación 62 -> 2025-03-28 09:16:42.897041 UTC
Evaluación 63 -> 2025-03-28 09:16:57.592759 UTC
Evaluación 64 -> 2025-03-28 09:17:12.427424 UTC
Evaluación 65 -> 2025-03-28 09:17:27.050444 UTC
Evaluación 66 -> 2025-03-28 09:17:41.670458 UTC
Evaluación 67 -> 2025-03-28 09:17:56.512085 UTC
Evaluación 68 -> 2025-03-28 09:18:11.352444 UTC
Evaluación 69 -> 2025-03-28 09:18:26.210128 UTC
Evaluación 70 -> 2025-03-28 09:18:41.164100 UTC
Evaluación 71 -> 2025-03-28 09:18:56.216391 UTC
Evaluación 72 -> 2025-03-28 09:19:11.020490 UTC
Evaluación 73 -> 2025-03-28 09:19:25.618918 UTC
Evaluación 74 -> 2025-03-28 09:19:40.362110 UTC
Evaluación 75 -> 2025-03-28 09:19:54.918565 UTC
Evaluación 76 -> 2025-03-28 09:20:09.363799 UTC
Evaluación 77 -> 2025-03-28 09:20:24.145763 UTC
Evaluación 78 -> 2025-03-28 09:20:38.838683 UTC
Evaluación 79 -> 2025-03-28 09:20:53.541049 UTC
Evaluación 80 -> 2025-03-28 09:21:08.379137 UTC
Evaluación 81 -> 2025-03-28 09:21:23.100814 UTC
Evaluación 82 -> 2025-03-28 09:21:38.044191 UTC
Evaluación 83 -> 2025-03-28 09:21:52.701144 UTC
Evaluación 84 -> 2025-03-28 09:22:07.317162 UTC
Evaluación 85 -> 2025-03-28 09:22:21.995451 UTC
Evaluación 86 -> 2025-03-28 09:22:36.570223 UTC
Evaluación 87 -> 2025-03-28 09:22:50.985670 UTC
Evaluación 88 -> 2025-03-28 09:23:05.925854 UTC
