

---------------------------------------RPS  mobilenet  GENETICO2  10%----------------------------------------------

Start time: 2025-04-21 09:24:53.841699 UTC
Evaluación 1 -> 2025-04-21 09:26:01.357340 UTC
Evaluación 2 -> 2025-04-21 09:26:24.495635 UTC
Evaluación 3 -> 2025-04-21 09:26:47.296606 UTC
Evaluación 4 -> 2025-04-21 09:27:09.972568 UTC
Evaluación 5 -> 2025-04-21 09:27:32.308876 UTC
Evaluación 6 -> 2025-04-21 09:27:55.214152 UTC
Evaluación 7 -> 2025-04-21 09:28:17.524078 UTC
Evaluación 8 -> 2025-04-21 09:28:41.384500 UTC
Evaluación 9 -> 2025-04-21 09:29:05.531075 UTC
Evaluación 10 -> 2025-04-21 09:29:31.981094 UTC
Evaluación 11 -> 2025-04-21 09:29:59.262450 UTC
Evaluación 12 -> 2025-04-21 09:30:28.542695 UTC
Evaluación 13 -> 2025-04-21 09:30:55.287195 UTC
Evaluación 14 -> 2025-04-21 09:31:22.098670 UTC
Evaluación 15 -> 2025-04-21 09:31:44.224396 UTC
Evaluación 16 -> 2025-04-21 09:32:05.362270 UTC
Evaluación 17 -> 2025-04-21 09:32:20.330871 UTC
Evaluación 18 -> 2025-04-21 09:32:34.245710 UTC
Evaluación 19 -> 2025-04-21 09:32:51.678026 UTC
Evaluación 20 -> 2025-04-21 09:33:09.797243 UTC
Evaluación 21 -> 2025-04-21 09:33:24.403512 UTC
Evaluación 22 -> 2025-04-21 09:33:38.629403 UTC
Evaluación 23 -> 2025-04-21 09:33:55.071539 UTC
Evaluación 24 -> 2025-04-21 09:34:11.855725 UTC
Evaluación 25 -> 2025-04-21 09:34:35.405020 UTC
Evaluación 26 -> 2025-04-21 09:34:58.887922 UTC
Evaluación 27 -> 2025-04-21 09:35:19.114046 UTC
Evaluación 28 -> 2025-04-21 09:35:39.438729 UTC
Evaluación 29 -> 2025-04-21 09:35:59.712382 UTC
Evaluación 30 -> 2025-04-21 09:36:20.719000 UTC
Evaluación 31 -> 2025-04-21 09:36:36.287920 UTC
Evaluación 32 -> 2025-04-21 09:36:52.139390 UTC
Evaluación 33 -> 2025-04-21 09:37:14.716183 UTC
Evaluación 34 -> 2025-04-21 09:37:36.993598 UTC
Evaluación 35 -> 2025-04-21 09:38:04.328472 UTC
Evaluación 36 -> 2025-04-21 09:38:31.864698 UTC
Evaluación 37 -> 2025-04-21 09:38:47.800184 UTC
Evaluación 38 -> 2025-04-21 09:39:03.369041 UTC
Evaluación 39 -> 2025-04-21 09:39:19.338531 UTC
Evaluación 40 -> 2025-04-21 09:39:36.430832 UTC
Evaluación 41 -> 2025-04-21 09:39:56.926652 UTC
Evaluación 42 -> 2025-04-21 09:40:20.614660 UTC
Evaluación 43 -> 2025-04-21 09:40:57.966886 UTC
Evaluación 44 -> 2025-04-21 09:41:33.109784 UTC
Evaluación 45 -> 2025-04-21 09:42:01.425601 UTC
Evaluación 46 -> 2025-04-21 09:42:32.404587 UTC
Evaluación 47 -> 2025-04-21 09:42:57.202146 UTC
Evaluación 48 -> 2025-04-21 09:43:21.554929 UTC
Evaluación 49 -> 2025-04-21 09:44:24.471169 UTC
Evaluación 50 -> 2025-04-21 09:45:21.789473 UTC
Evaluación 51 -> 2025-04-21 09:45:59.327891 UTC
Evaluación 52 -> 2025-04-21 09:46:39.938262 UTC
Evaluación 53 -> 2025-04-21 09:47:06.714378 UTC
Evaluación 54 -> 2025-04-21 09:47:30.803518 UTC
Evaluación 55 -> 2025-04-21 09:48:03.326249 UTC
Evaluación 56 -> 2025-04-21 09:48:49.967833 UTC
Evaluación 57 -> 2025-04-21 09:49:12.215529 UTC
Evaluación 58 -> 2025-04-21 09:49:32.165172 UTC
