

---------------------------------------RPS  mobilenet  GENETICO2 (LIBRE)  10%----------------------------------------------

Start time: 2025-05-10 09:13:22.132896 UTC
Evaluación 1 -> 2025-05-10 09:14:05.974351 UTC
Evaluación 2 -> 2025-05-10 09:14:24.986781 UTC
Evaluación 3 -> 2025-05-10 09:14:44.378647 UTC
Evaluación 4 -> 2025-05-10 09:15:03.321021 UTC
Evaluación 5 -> 2025-05-10 09:15:22.118573 UTC
Evaluación 6 -> 2025-05-10 09:15:40.993764 UTC
Evaluación 7 -> 2025-05-10 09:15:59.196429 UTC
Evaluación 8 -> 2025-05-10 09:16:18.298269 UTC
Evaluación 9 -> 2025-05-10 09:16:37.013694 UTC
Evaluación 10 -> 2025-05-10 09:16:55.610424 UTC
Evaluación 11 -> 2025-05-10 09:17:09.568580 UTC
Evaluación 12 -> 2025-05-10 09:17:23.195605 UTC
Evaluación 13 -> 2025-05-10 09:17:36.109200 UTC
Evaluación 14 -> 2025-05-10 09:17:49.822216 UTC
Evaluación 15 -> 2025-05-10 09:18:11.450860 UTC
Evaluación 16 -> 2025-05-10 09:18:33.302999 UTC
Evaluación 17 -> 2025-05-10 09:18:56.340700 UTC
Evaluación 18 -> 2025-05-10 09:19:20.181796 UTC
Evaluación 19 -> 2025-05-10 09:19:42.766806 UTC
Evaluación 20 -> 2025-05-10 09:20:06.618965 UTC
Evaluación 21 -> 2025-05-10 09:20:25.040660 UTC
Evaluación 22 -> 2025-05-10 09:20:44.647933 UTC
Evaluación 23 -> 2025-05-10 09:20:59.729754 UTC
Evaluación 24 -> 2025-05-10 09:21:13.806259 UTC
Evaluación 25 -> 2025-05-10 09:21:36.088284 UTC
Evaluación 26 -> 2025-05-10 09:21:58.374792 UTC
Evaluación 27 -> 2025-05-10 09:22:19.772098 UTC
Evaluación 28 -> 2025-05-10 09:22:40.777293 UTC
Evaluación 29 -> 2025-05-10 09:22:58.137258 UTC
Evaluación 30 -> 2025-05-10 09:23:14.775603 UTC
Evaluación 31 -> 2025-05-10 09:23:35.211067 UTC
Evaluación 32 -> 2025-05-10 09:23:55.823366 UTC
Evaluación 33 -> 2025-05-10 09:24:10.158076 UTC
Evaluación 34 -> 2025-05-10 09:24:24.095753 UTC
Evaluación 35 -> 2025-05-10 09:24:37.995362 UTC
Evaluación 36 -> 2025-05-10 09:24:51.982831 UTC
Evaluación 37 -> 2025-05-10 09:25:09.524675 UTC
Evaluación 38 -> 2025-05-10 09:25:27.225826 UTC
Evaluación 39 -> 2025-05-10 09:25:44.409358 UTC
Evaluación 40 -> 2025-05-10 09:26:01.301021 UTC
Evaluación 41 -> 2025-05-10 09:26:18.047502 UTC
Evaluación 42 -> 2025-05-10 09:26:34.751549 UTC
Evaluación 43 -> 2025-05-10 09:26:54.455582 UTC
Evaluación 44 -> 2025-05-10 09:27:14.598830 UTC
Evaluación 45 -> 2025-05-10 09:27:42.321127 UTC
Evaluación 46 -> 2025-05-10 09:28:09.779570 UTC
Evaluación 47 -> 2025-05-10 09:28:26.595821 UTC
Evaluación 48 -> 2025-05-10 09:28:44.018153 UTC
Evaluación 49 -> 2025-05-10 09:29:03.859161 UTC
Evaluación 50 -> 2025-05-10 09:29:23.190638 UTC
Evaluación 51 -> 2025-05-10 09:29:40.317147 UTC
Evaluación 52 -> 2025-05-10 09:29:56.856585 UTC
Evaluación 53 -> 2025-05-10 09:30:16.377112 UTC
Evaluación 54 -> 2025-05-10 09:30:36.132948 UTC
Evaluación 55 -> 2025-05-10 09:30:54.042170 UTC
Evaluación 56 -> 2025-05-10 09:31:12.280702 UTC
Evaluación 57 -> 2025-05-10 09:31:30.258968 UTC
Evaluación 58 -> 2025-05-10 09:31:47.636431 UTC
Evaluación 59 -> 2025-05-10 09:32:06.705236 UTC
Evaluación 60 -> 2025-05-10 09:32:25.252469 UTC
Evaluación 61 -> 2025-05-10 09:32:46.754661 UTC
Evaluación 62 -> 2025-05-10 09:33:08.103037 UTC
Evaluación 63 -> 2025-05-10 09:33:26.803971 UTC
Evaluación 64 -> 2025-05-10 09:33:44.882233 UTC
Evaluación 65 -> 2025-05-10 09:34:06.570824 UTC
Evaluación 66 -> 2025-05-10 09:34:28.320433 UTC
Evaluación 67 -> 2025-05-10 09:34:54.237720 UTC
Evaluación 68 -> 2025-05-10 09:35:20.573889 UTC
Evaluación 69 -> 2025-05-10 09:35:39.587569 UTC
Evaluación 70 -> 2025-05-10 09:35:58.059221 UTC
Evaluación 71 -> 2025-05-10 09:36:12.128197 UTC
Evaluación 72 -> 2025-05-10 09:36:26.340589 UTC
Evaluación 73 -> 2025-05-10 09:36:43.867463 UTC
Evaluación 74 -> 2025-05-10 09:37:01.170224 UTC
Evaluación 75 -> 2025-05-10 09:37:16.419675 UTC
Evaluación 76 -> 2025-05-10 09:37:31.887588 UTC
Evaluación 77 -> 2025-05-10 09:37:46.366821 UTC
Evaluación 78 -> 2025-05-10 09:38:01.277915 UTC
Evaluación 79 -> 2025-05-10 09:38:17.087357 UTC
Evaluación 80 -> 2025-05-10 09:38:32.549630 UTC
Evaluación 81 -> 2025-05-10 09:38:47.525980 UTC
Evaluación 82 -> 2025-05-10 09:39:02.318105 UTC
Evaluación 83 -> 2025-05-10 09:39:20.320175 UTC
