

---------------------------------------RPS  mobilenet  GENETICO  10%----------------------------------------------

Start time: 2025-05-11 09:10:34.476523 UTC
Evaluación 1 -> 2025-05-11 09:11:06.248890 UTC
Evaluación 2 -> 2025-05-11 09:11:25.583153 UTC
Evaluación 3 -> 2025-05-11 09:11:44.236224 UTC
Evaluación 4 -> 2025-05-11 09:12:03.421133 UTC
Evaluación 5 -> 2025-05-11 09:12:22.455136 UTC
Evaluación 6 -> 2025-05-11 09:12:41.521443 UTC
Evaluación 7 -> 2025-05-11 09:13:00.096549 UTC
Evaluación 8 -> 2025-05-11 09:13:19.489096 UTC
Evaluación 9 -> 2025-05-11 09:13:38.625259 UTC
Evaluación 10 -> 2025-05-11 09:13:57.808131 UTC
Evaluación 11 -> 2025-05-11 09:14:16.673065 UTC
Evaluación 12 -> 2025-05-11 09:14:35.986055 UTC
Evaluación 13 -> 2025-05-11 09:14:55.106968 UTC
Evaluación 14 -> 2025-05-11 09:15:13.664207 UTC
Evaluación 15 -> 2025-05-11 09:15:32.739236 UTC
Evaluación 16 -> 2025-05-11 09:15:51.265472 UTC
Evaluación 17 -> 2025-05-11 09:16:09.978117 UTC
Evaluación 18 -> 2025-05-11 09:16:29.072937 UTC
Evaluación 19 -> 2025-05-11 09:16:48.280860 UTC
Evaluación 20 -> 2025-05-11 09:17:07.555514 UTC
Evaluación 21 -> 2025-05-11 09:17:26.736780 UTC
Evaluación 22 -> 2025-05-11 09:17:45.658758 UTC
Evaluación 23 -> 2025-05-11 09:18:04.808642 UTC
Evaluación 24 -> 2025-05-11 09:18:24.135548 UTC
Evaluación 25 -> 2025-05-11 09:18:43.062317 UTC
Evaluación 26 -> 2025-05-11 09:19:02.135530 UTC
Evaluación 27 -> 2025-05-11 09:19:20.805771 UTC
Evaluación 28 -> 2025-05-11 09:19:39.953094 UTC
Evaluación 29 -> 2025-05-11 09:19:59.026190 UTC
Evaluación 30 -> 2025-05-11 09:20:17.989044 UTC
Evaluación 31 -> 2025-05-11 09:20:37.132355 UTC
Evaluación 32 -> 2025-05-11 09:20:56.060541 UTC
Evaluación 33 -> 2025-05-11 09:21:14.622670 UTC
Evaluación 34 -> 2025-05-11 09:21:33.421499 UTC
Evaluación 35 -> 2025-05-11 09:21:52.566232 UTC
Evaluación 36 -> 2025-05-11 09:22:11.874156 UTC
Evaluación 37 -> 2025-05-11 09:22:30.524413 UTC
Evaluación 38 -> 2025-05-11 09:22:49.869684 UTC
Evaluación 39 -> 2025-05-11 09:23:08.658979 UTC
Evaluación 40 -> 2025-05-11 09:23:27.259716 UTC
Evaluación 41 -> 2025-05-11 09:23:46.236980 UTC
Evaluación 42 -> 2025-05-11 09:24:05.419863 UTC
Evaluación 43 -> 2025-05-11 09:24:24.543308 UTC
Evaluación 44 -> 2025-05-11 09:24:43.450605 UTC
Evaluación 45 -> 2025-05-11 09:25:02.721597 UTC
Evaluación 46 -> 2025-05-11 09:25:21.753571 UTC
Evaluación 47 -> 2025-05-11 09:25:40.842746 UTC
Evaluación 48 -> 2025-05-11 09:25:59.837952 UTC
Evaluación 49 -> 2025-05-11 09:26:19.030161 UTC
Evaluación 50 -> 2025-05-11 09:26:37.922502 UTC
Evaluación 51 -> 2025-05-11 09:26:57.232430 UTC
Evaluación 52 -> 2025-05-11 09:27:16.499509 UTC
Evaluación 53 -> 2025-05-11 09:27:35.657281 UTC
Evaluación 54 -> 2025-05-11 09:27:54.745658 UTC
