

---------------------------------------PAINTING  mobilenet  MEMETICO  25%----------------------------------------------

Start time: 2025-05-18 15:13:00.532396 UTC
Evaluación 1 -> 2025-05-18 15:15:20.129748 UTC
Evaluación 2 -> 2025-05-18 15:17:26.066857 UTC
Evaluación 3 -> 2025-05-18 15:19:31.568835 UTC
Evaluación 4 -> 2025-05-18 15:21:33.803463 UTC
Evaluación 5 -> 2025-05-18 15:23:35.887745 UTC
Evaluación 6 -> 2025-05-18 15:25:38.694246 UTC
Evaluación 7 -> 2025-05-18 15:27:40.571186 UTC
Evaluación 8 -> 2025-05-18 15:29:44.778469 UTC
Evaluación 9 -> 2025-05-18 15:31:46.827450 UTC
Evaluación 10 -> 2025-05-18 15:33:49.295344 UTC
Evaluación 11 -> 2025-05-18 15:35:50.590883 UTC
Evaluación 12 -> 2025-05-18 15:37:52.313412 UTC
Evaluación 13 -> 2025-05-18 15:39:54.199365 UTC
Evaluación 14 -> 2025-05-18 15:41:57.635491 UTC
Evaluación 15 -> 2025-05-18 15:44:01.256151 UTC
Evaluación 16 -> 2025-05-18 15:46:05.636618 UTC
Evaluación 17 -> 2025-05-18 15:48:09.305580 UTC
Evaluación 18 -> 2025-05-18 15:50:10.378222 UTC
Evaluación 19 -> 2025-05-18 15:52:12.480307 UTC
Evaluación 20 -> 2025-05-18 15:54:13.823285 UTC
Evaluación 21 -> 2025-05-18 15:56:16.062310 UTC
Evaluación 22 -> 2025-05-18 15:58:16.282066 UTC
Evaluación 23 -> 2025-05-18 16:00:16.084158 UTC
Evaluación 24 -> 2025-05-18 16:02:18.948127 UTC
Evaluación 25 -> 2025-05-18 16:04:21.273417 UTC
Evaluación 26 -> 2025-05-18 16:06:23.693805 UTC
Evaluación 27 -> 2025-05-18 16:08:25.261566 UTC
Evaluación 28 -> 2025-05-18 16:10:30.295586 UTC
Evaluación 29 -> 2025-05-18 16:12:34.761949 UTC
Evaluación 30 -> 2025-05-18 16:14:36.356015 UTC
Evaluación 31 -> 2025-05-18 16:16:39.705922 UTC
Evaluación 32 -> 2025-05-18 16:18:42.640833 UTC
Evaluación 33 -> 2025-05-18 16:20:46.645907 UTC
Evaluación 34 -> 2025-05-18 16:22:50.555227 UTC
Evaluación 35 -> 2025-05-18 16:24:53.526460 UTC
Evaluación 36 -> 2025-05-18 16:26:56.295510 UTC
Evaluación 37 -> 2025-05-18 16:28:59.029488 UTC
Evaluación 38 -> 2025-05-18 16:31:03.588803 UTC
Evaluación 39 -> 2025-05-18 16:33:07.719815 UTC
Evaluación 40 -> 2025-05-18 16:35:11.779132 UTC
Evaluación 41 -> 2025-05-18 16:37:16.312110 UTC
Evaluación 42 -> 2025-05-18 16:39:19.913924 UTC
Evaluación 43 -> 2025-05-18 16:41:25.063734 UTC
Evaluación 44 -> 2025-05-18 16:43:30.988256 UTC
Evaluación 45 -> 2025-05-18 16:45:35.351731 UTC
Evaluación 46 -> 2025-05-18 16:47:39.143268 UTC
Evaluación 47 -> 2025-05-18 16:49:43.165520 UTC
Evaluación 48 -> 2025-05-18 16:51:46.762396 UTC
Evaluación 49 -> 2025-05-18 16:53:50.448716 UTC
Evaluación 50 -> 2025-05-18 16:55:53.915868 UTC
Evaluación 51 -> 2025-05-18 16:57:58.915979 UTC
Evaluación 52 -> 2025-05-18 17:00:02.942099 UTC
Evaluación 53 -> 2025-05-18 17:02:07.047469 UTC
Evaluación 54 -> 2025-05-18 17:04:10.915726 UTC
Evaluación 55 -> 2025-05-18 17:06:14.018442 UTC
Evaluación 56 -> 2025-05-18 17:08:15.919274 UTC
Evaluación 57 -> 2025-05-18 17:10:21.740494 UTC
Evaluación 58 -> 2025-05-18 17:12:25.235642 UTC
Evaluación 59 -> 2025-05-18 17:14:28.884452 UTC
Evaluación 60 -> 2025-05-18 17:16:33.904228 UTC
Evaluación 61 -> 2025-05-18 17:18:38.611309 UTC
Evaluación 62 -> 2025-05-18 17:20:43.042709 UTC
Evaluación 63 -> 2025-05-18 17:22:47.546410 UTC
Evaluación 64 -> 2025-05-18 17:24:53.395822 UTC
Evaluación 65 -> 2025-05-18 17:26:56.150396 UTC
Evaluación 66 -> 2025-05-18 17:28:58.698041 UTC
Evaluación 67 -> 2025-05-18 17:31:01.954505 UTC
Evaluación 68 -> 2025-05-18 17:33:05.011367 UTC
Evaluación 69 -> 2025-05-18 17:35:09.436428 UTC
Evaluación 70 -> 2025-05-18 17:37:13.301626 UTC
Evaluación 71 -> 2025-05-18 17:39:17.386036 UTC
Evaluación 72 -> 2025-05-18 17:41:20.475392 UTC
Evaluación 73 -> 2025-05-18 17:43:25.390439 UTC
Evaluación 74 -> 2025-05-18 17:45:29.472305 UTC
Evaluación 75 -> 2025-05-18 17:47:31.487368 UTC
Evaluación 76 -> 2025-05-18 17:49:31.196461 UTC
Evaluación 77 -> 2025-05-18 17:51:35.645628 UTC
Evaluación 78 -> 2025-05-18 17:53:39.210353 UTC
Evaluación 79 -> 2025-05-18 17:55:42.181767 UTC
Evaluación 80 -> 2025-05-18 17:57:41.144440 UTC
Evaluación 81 -> 2025-05-18 17:59:41.621862 UTC
Evaluación 82 -> 2025-05-18 18:01:43.663618 UTC
Evaluación 83 -> 2025-05-18 18:03:46.825246 UTC
Evaluación 84 -> 2025-05-18 18:05:46.978569 UTC
Evaluación 85 -> 2025-05-18 18:07:48.982690 UTC
Evaluación 86 -> 2025-05-18 18:09:52.530562 UTC
Evaluación 87 -> 2025-05-18 18:11:55.412086 UTC
Evaluación 88 -> 2025-05-18 18:13:58.405245 UTC
Evaluación 89 -> 2025-05-18 18:16:00.614794 UTC
Evaluación 90 -> 2025-05-18 18:18:01.502089 UTC
Evaluación 91 -> 2025-05-18 18:20:04.859695 UTC
Evaluación 92 -> 2025-05-18 18:22:06.511329 UTC
Evaluación 93 -> 2025-05-18 18:24:08.365847 UTC
Evaluación 94 -> 2025-05-18 18:26:11.169360 UTC
Evaluación 95 -> 2025-05-18 18:28:13.582111 UTC
Evaluación 96 -> 2025-05-18 18:30:16.892669 UTC
Evaluación 97 -> 2025-05-18 18:32:18.407526 UTC
Evaluación 98 -> 2025-05-18 18:34:22.295870 UTC
Evaluación 99 -> 2025-05-18 18:36:22.420315 UTC
Evaluación 100 -> 2025-05-18 18:38:25.803342 UTC


---------------------------------------PAINTING  mobilenet  MEMETICO  50%----------------------------------------------

Start time: 2025-05-18 18:40:28.284578 UTC
Evaluación 1 -> 2025-05-18 18:44:31.756277 UTC
Evaluación 2 -> 2025-05-18 18:48:28.876071 UTC
Evaluación 3 -> 2025-05-18 18:52:26.508651 UTC
Evaluación 4 -> 2025-05-18 18:56:23.497391 UTC
Evaluación 5 -> 2025-05-18 19:00:18.532875 UTC
Evaluación 6 -> 2025-05-18 19:04:15.567297 UTC
Evaluación 7 -> 2025-05-18 19:08:11.278222 UTC
Evaluación 8 -> 2025-05-18 19:12:08.221004 UTC
Evaluación 9 -> 2025-05-18 19:16:02.302101 UTC
Evaluación 10 -> 2025-05-18 19:21:24.773479 UTC
Evaluación 11 -> 2025-05-18 19:25:25.495404 UTC
Evaluación 12 -> 2025-05-18 19:29:25.924270 UTC
Evaluación 13 -> 2025-05-18 19:33:26.359047 UTC
Evaluación 14 -> 2025-05-18 19:37:25.606441 UTC
Evaluación 15 -> 2025-05-18 19:42:19.063762 UTC
Evaluación 16 -> 2025-05-18 19:46:25.028340 UTC
Evaluación 17 -> 2025-05-18 19:50:25.894398 UTC
Evaluación 18 -> 2025-05-18 19:54:23.435616 UTC
Evaluación 19 -> 2025-05-18 19:59:44.553554 UTC
Evaluación 20 -> 2025-05-18 20:03:43.717994 UTC
Evaluación 21 -> 2025-05-18 20:07:40.716171 UTC
Evaluación 22 -> 2025-05-18 20:11:39.311507 UTC
Evaluación 23 -> 2025-05-18 20:15:36.399330 UTC
Evaluación 24 -> 2025-05-18 20:20:32.024647 UTC
Evaluación 25 -> 2025-05-18 20:24:35.856490 UTC
Evaluación 26 -> 2025-05-18 20:28:40.530110 UTC
Evaluación 27 -> 2025-05-18 20:32:43.932401 UTC
Evaluación 28 -> 2025-05-18 20:36:47.685601 UTC
Evaluación 29 -> 2025-05-18 20:40:53.225902 UTC
Evaluación 30 -> 2025-05-18 20:44:57.658052 UTC
Evaluación 31 -> 2025-05-18 20:49:03.145099 UTC
Evaluación 32 -> 2025-05-18 20:53:09.595948 UTC
Evaluación 33 -> 2025-05-18 20:57:11.580560 UTC
Evaluación 34 -> 2025-05-18 21:01:16.244888 UTC
Evaluación 35 -> 2025-05-18 21:05:20.471287 UTC
Evaluación 36 -> 2025-05-18 21:09:24.899711 UTC
Evaluación 37 -> 2025-05-18 21:13:27.388575 UTC
Evaluación 38 -> 2025-05-18 21:17:29.654833 UTC
Evaluación 39 -> 2025-05-18 21:21:30.974194 UTC
Evaluación 40 -> 2025-05-18 21:25:29.676591 UTC
Evaluación 41 -> 2025-05-18 21:29:30.970139 UTC
Evaluación 42 -> 2025-05-18 21:33:31.992056 UTC
Evaluación 43 -> 2025-05-18 21:37:33.104355 UTC
Evaluación 44 -> 2025-05-18 21:41:33.454688 UTC
Evaluación 45 -> 2025-05-18 21:45:33.279932 UTC
Evaluación 46 -> 2025-05-18 21:49:32.854657 UTC
Evaluación 47 -> 2025-05-18 21:53:33.407759 UTC
Evaluación 48 -> 2025-05-18 21:57:34.535735 UTC
Evaluación 49 -> 2025-05-18 22:01:35.788151 UTC
Evaluación 50 -> 2025-05-18 22:05:41.885825 UTC
Evaluación 51 -> 2025-05-18 22:09:38.880696 UTC
Evaluación 52 -> 2025-05-18 22:13:37.491727 UTC
Evaluación 53 -> 2025-05-18 22:17:36.370112 UTC
Evaluación 54 -> 2025-05-18 22:21:37.004136 UTC
Evaluación 55 -> 2025-05-18 22:25:40.190345 UTC
Evaluación 56 -> 2025-05-18 22:29:40.753074 UTC
Evaluación 57 -> 2025-05-18 22:33:38.499116 UTC
Evaluación 58 -> 2025-05-18 22:37:36.527116 UTC
Evaluación 59 -> 2025-05-18 22:41:34.832067 UTC
Evaluación 60 -> 2025-05-18 22:45:31.146828 UTC
Evaluación 61 -> 2025-05-18 22:49:27.492446 UTC
Evaluación 62 -> 2025-05-18 22:53:26.091710 UTC
Evaluación 63 -> 2025-05-18 22:57:18.200422 UTC
Evaluación 64 -> 2025-05-18 23:01:15.772215 UTC
Evaluación 65 -> 2025-05-18 23:05:15.302413 UTC
Evaluación 66 -> 2025-05-18 23:09:11.405954 UTC
Evaluación 67 -> 2025-05-18 23:13:07.670924 UTC
Evaluación 68 -> 2025-05-18 23:17:03.930121 UTC
Evaluación 69 -> 2025-05-18 23:21:01.109972 UTC
Evaluación 70 -> 2025-05-18 23:24:58.738418 UTC
Evaluación 71 -> 2025-05-18 23:28:57.283408 UTC
Evaluación 72 -> 2025-05-18 23:32:53.017576 UTC
Evaluación 73 -> 2025-05-18 23:36:51.991311 UTC
Evaluación 74 -> 2025-05-18 23:40:48.805643 UTC
Evaluación 75 -> 2025-05-18 23:44:44.307148 UTC
Evaluación 76 -> 2025-05-18 23:48:42.510186 UTC
Evaluación 77 -> 2025-05-18 23:52:42.073036 UTC
Evaluación 78 -> 2025-05-18 23:56:40.578944 UTC
Evaluación 79 -> 2025-05-19 00:00:36.395155 UTC
Evaluación 80 -> 2025-05-19 00:04:34.113263 UTC
Evaluación 81 -> 2025-05-19 00:08:29.791931 UTC
Evaluación 82 -> 2025-05-19 00:12:28.024909 UTC
Evaluación 83 -> 2025-05-19 00:16:23.493549 UTC
Evaluación 84 -> 2025-05-19 00:20:20.835593 UTC
Evaluación 85 -> 2025-05-19 00:24:19.748411 UTC
Evaluación 86 -> 2025-05-19 00:28:15.322256 UTC
Evaluación 87 -> 2025-05-19 00:32:11.240087 UTC
Evaluación 88 -> 2025-05-19 00:36:10.194427 UTC
Evaluación 89 -> 2025-05-19 00:40:08.301267 UTC
Evaluación 90 -> 2025-05-19 00:44:05.024843 UTC
Evaluación 91 -> 2025-05-19 00:48:04.313493 UTC
Evaluación 92 -> 2025-05-19 00:51:59.566915 UTC
Evaluación 93 -> 2025-05-19 00:55:55.850267 UTC
Evaluación 94 -> 2025-05-19 00:59:53.611611 UTC
Evaluación 95 -> 2025-05-19 01:03:54.469411 UTC
Evaluación 96 -> 2025-05-19 01:07:53.215987 UTC
Evaluación 97 -> 2025-05-19 01:11:50.183287 UTC
Evaluación 98 -> 2025-05-19 01:15:46.772345 UTC
Evaluación 99 -> 2025-05-19 01:19:44.484007 UTC
Evaluación 100 -> 2025-05-19 01:23:45.688569 UTC


---------------------------------------PAINTING  mobilenet  MEMETICO (LIBRE)  25%----------------------------------------------

Start time: 2025-05-19 01:27:46.806134 UTC
Evaluación 1 -> 2025-05-19 01:29:52.744814 UTC
Evaluación 2 -> 2025-05-19 01:31:57.691347 UTC
Evaluación 3 -> 2025-05-19 01:34:03.755851 UTC
Evaluación 4 -> 2025-05-19 01:36:08.346171 UTC
Evaluación 5 -> 2025-05-19 01:38:09.642996 UTC
Evaluación 6 -> 2025-05-19 01:40:12.851660 UTC
Evaluación 7 -> 2025-05-19 01:42:15.942421 UTC
Evaluación 8 -> 2025-05-19 01:44:20.243435 UTC
Evaluación 9 -> 2025-05-19 01:46:22.009903 UTC
Evaluación 10 -> 2025-05-19 01:48:24.864374 UTC
Evaluación 11 -> 2025-05-19 01:49:50.596991 UTC
Evaluación 12 -> 2025-05-19 01:51:18.287654 UTC
Evaluación 13 -> 2025-05-19 01:52:45.764437 UTC
Evaluación 14 -> 2025-05-19 01:54:13.968755 UTC
Evaluación 15 -> 2025-05-19 01:55:40.913241 UTC
Evaluación 16 -> 2025-05-19 01:57:07.189086 UTC
Evaluación 17 -> 2025-05-19 01:58:38.073048 UTC
Evaluación 18 -> 2025-05-19 02:00:05.313307 UTC
Evaluación 19 -> 2025-05-19 02:01:31.782303 UTC
Evaluación 20 -> 2025-05-19 02:02:58.575673 UTC
Evaluación 21 -> 2025-05-19 02:04:27.130700 UTC
Evaluación 22 -> 2025-05-19 02:06:22.070066 UTC
Evaluación 23 -> 2025-05-19 02:08:16.697811 UTC
Evaluación 24 -> 2025-05-19 02:10:20.753118 UTC
Evaluación 25 -> 2025-05-19 02:12:25.103822 UTC
Evaluación 26 -> 2025-05-19 02:14:48.644161 UTC
Evaluación 27 -> 2025-05-19 02:17:10.367324 UTC
Evaluación 28 -> 2025-05-19 02:19:32.417786 UTC
Evaluación 29 -> 2025-05-19 02:21:54.664751 UTC
Evaluación 30 -> 2025-05-19 02:24:17.931377 UTC
Evaluación 31 -> 2025-05-19 02:26:40.179822 UTC
Evaluación 32 -> 2025-05-19 02:29:02.346552 UTC
Evaluación 33 -> 2025-05-19 02:31:23.920291 UTC
Evaluación 34 -> 2025-05-19 02:33:48.046435 UTC
Evaluación 35 -> 2025-05-19 02:36:12.646894 UTC
Evaluación 36 -> 2025-05-19 02:38:34.418894 UTC
Evaluación 37 -> 2025-05-19 02:40:56.847758 UTC
Evaluación 38 -> 2025-05-19 02:43:18.860183 UTC
Evaluación 39 -> 2025-05-19 02:45:39.050442 UTC
Evaluación 40 -> 2025-05-19 02:48:03.428733 UTC
Evaluación 41 -> 2025-05-19 02:50:26.079679 UTC
Evaluación 42 -> 2025-05-19 02:52:46.519148 UTC
Evaluación 43 -> 2025-05-19 02:55:08.260309 UTC
Evaluación 44 -> 2025-05-19 02:57:31.230417 UTC
Evaluación 45 -> 2025-05-19 02:59:54.004259 UTC
Evaluación 46 -> 2025-05-19 03:01:35.676825 UTC
Evaluación 47 -> 2025-05-19 03:03:16.230216 UTC
Evaluación 48 -> 2025-05-19 03:04:58.797834 UTC
Evaluación 49 -> 2025-05-19 03:06:42.457992 UTC
Evaluación 50 -> 2025-05-19 03:08:24.796600 UTC
Evaluación 51 -> 2025-05-19 03:10:09.900651 UTC
Evaluación 52 -> 2025-05-19 03:11:52.770321 UTC
Evaluación 53 -> 2025-05-19 03:13:36.487611 UTC
Evaluación 54 -> 2025-05-19 03:15:18.814616 UTC
Evaluación 55 -> 2025-05-19 03:17:00.105791 UTC
Evaluación 56 -> 2025-05-19 03:19:10.923011 UTC
Evaluación 57 -> 2025-05-19 03:21:20.929896 UTC
Evaluación 58 -> 2025-05-19 03:22:52.902977 UTC
Evaluación 59 -> 2025-05-19 03:24:26.695913 UTC
Evaluación 60 -> 2025-05-19 03:25:59.440968 UTC
Evaluación 61 -> 2025-05-19 03:27:33.120629 UTC
Evaluación 62 -> 2025-05-19 03:29:05.605973 UTC
Evaluación 63 -> 2025-05-19 03:30:39.019469 UTC
Evaluación 64 -> 2025-05-19 03:32:12.016693 UTC
Evaluación 65 -> 2025-05-19 03:33:43.803587 UTC
Evaluación 66 -> 2025-05-19 03:35:17.300091 UTC
Evaluación 67 -> 2025-05-19 03:36:48.457042 UTC
Evaluación 68 -> 2025-05-19 03:38:21.886378 UTC
Evaluación 69 -> 2025-05-19 03:41:10.039695 UTC
Evaluación 70 -> 2025-05-19 03:43:58.495204 UTC
Evaluación 71 -> 2025-05-19 03:45:17.527839 UTC
Evaluación 72 -> 2025-05-19 03:46:36.849034 UTC
Evaluación 73 -> 2025-05-19 03:47:56.731203 UTC
Evaluación 74 -> 2025-05-19 03:49:15.053378 UTC
Evaluación 75 -> 2025-05-19 03:50:35.529994 UTC
Evaluación 76 -> 2025-05-19 03:51:55.671148 UTC
Evaluación 77 -> 2025-05-19 03:53:14.928684 UTC
Evaluación 78 -> 2025-05-19 03:54:35.300678 UTC
Evaluación 79 -> 2025-05-19 03:55:54.990090 UTC
Evaluación 80 -> 2025-05-19 03:57:15.800821 UTC
Evaluación 81 -> 2025-05-19 03:58:36.126670 UTC
Evaluación 82 -> 2025-05-19 03:59:55.542615 UTC
Evaluación 83 -> 2025-05-19 04:01:17.349560 UTC
Evaluación 84 -> 2025-05-19 04:02:37.075140 UTC
Evaluación 85 -> 2025-05-19 04:03:56.809061 UTC
Evaluación 86 -> 2025-05-19 04:05:17.201793 UTC
Evaluación 87 -> 2025-05-19 04:06:36.274370 UTC
Evaluación 88 -> 2025-05-19 04:07:55.398008 UTC
Evaluación 89 -> 2025-05-19 04:09:14.476879 UTC
Evaluación 90 -> 2025-05-19 04:10:34.857261 UTC
Evaluación 91 -> 2025-05-19 04:12:26.345129 UTC
Evaluación 92 -> 2025-05-19 04:15:19.799777 UTC
Evaluación 93 -> 2025-05-19 04:18:09.781674 UTC
Evaluación 94 -> 2025-05-19 04:19:27.052890 UTC
Evaluación 95 -> 2025-05-19 04:20:42.697337 UTC
Evaluación 96 -> 2025-05-19 04:21:58.985165 UTC
Evaluación 97 -> 2025-05-19 04:23:17.962070 UTC
Evaluación 98 -> 2025-05-19 04:24:36.259007 UTC
Evaluación 99 -> 2025-05-19 04:25:52.917034 UTC
Evaluación 100 -> 2025-05-19 04:27:09.591725 UTC


---------------------------------------PAINTING  mobilenet  MEMETICO (LIBRE)  50%----------------------------------------------

Start time: 2025-05-19 04:29:35.776420 UTC
Evaluación 1 -> 2025-05-19 04:33:39.631704 UTC
Evaluación 2 -> 2025-05-19 04:37:38.721784 UTC
Evaluación 3 -> 2025-05-19 04:41:36.936063 UTC
Evaluación 4 -> 2025-05-19 04:45:32.895499 UTC
Evaluación 5 -> 2025-05-19 04:49:29.650663 UTC
Evaluación 6 -> 2025-05-19 04:53:27.243118 UTC
Evaluación 7 -> 2025-05-19 04:57:22.852017 UTC
Evaluación 8 -> 2025-05-19 05:01:20.950051 UTC
Evaluación 9 -> 2025-05-19 05:05:15.527498 UTC
Evaluación 10 -> 2025-05-19 05:09:12.879419 UTC
Evaluación 11 -> 2025-05-19 05:12:00.814449 UTC
Evaluación 12 -> 2025-05-19 05:14:51.427965 UTC
Evaluación 13 -> 2025-05-19 05:18:33.275376 UTC
Evaluación 14 -> 2025-05-19 05:22:15.177513 UTC
Evaluación 15 -> 2025-05-19 05:26:15.143710 UTC
Evaluación 16 -> 2025-05-19 05:30:12.997225 UTC
Evaluación 17 -> 2025-05-19 05:33:58.315777 UTC
Evaluación 18 -> 2025-05-19 05:37:46.257289 UTC
Evaluación 19 -> 2025-05-19 05:41:34.737532 UTC
Evaluación 20 -> 2025-05-19 05:45:22.362331 UTC
Evaluación 21 -> 2025-05-19 05:49:10.624089 UTC
Evaluación 22 -> 2025-05-19 05:52:56.538778 UTC
Evaluación 23 -> 2025-05-19 05:56:43.364457 UTC
Evaluación 24 -> 2025-05-19 06:00:27.125806 UTC
Evaluación 25 -> 2025-05-19 06:04:14.079218 UTC
Evaluación 26 -> 2025-05-19 06:08:00.716987 UTC
Evaluación 27 -> 2025-05-19 06:11:44.356301 UTC
Evaluación 28 -> 2025-05-19 06:17:25.293997 UTC
Evaluación 29 -> 2025-05-19 06:21:16.663976 UTC
Evaluación 30 -> 2025-05-19 06:25:11.435420 UTC
Evaluación 31 -> 2025-05-19 06:27:55.024967 UTC
Evaluación 32 -> 2025-05-19 06:30:40.849039 UTC
Evaluación 33 -> 2025-05-19 06:33:22.368015 UTC
Evaluación 34 -> 2025-05-19 06:36:05.643051 UTC
Evaluación 35 -> 2025-05-19 06:38:50.585466 UTC
Evaluación 36 -> 2025-05-19 06:41:35.577635 UTC
Evaluación 37 -> 2025-05-19 06:44:20.067293 UTC
Evaluación 38 -> 2025-05-19 06:47:03.623126 UTC
Evaluación 39 -> 2025-05-19 06:49:50.886655 UTC
Evaluación 40 -> 2025-05-19 06:52:35.659213 UTC
Evaluación 41 -> 2025-05-19 06:55:21.121317 UTC
Evaluación 42 -> 2025-05-19 07:00:58.026204 UTC
Evaluación 43 -> 2025-05-19 07:06:31.438558 UTC
Evaluación 44 -> 2025-05-19 07:12:03.826092 UTC
Evaluación 45 -> 2025-05-19 07:17:36.216099 UTC
Evaluación 46 -> 2025-05-19 07:23:10.812393 UTC
Evaluación 47 -> 2025-05-19 07:28:44.510216 UTC
Evaluación 48 -> 2025-05-19 07:34:18.941898 UTC
Evaluación 49 -> 2025-05-19 07:39:51.593039 UTC
Evaluación 50 -> 2025-05-19 07:45:22.230389 UTC
Evaluación 51 -> 2025-05-19 07:50:56.026499 UTC
Evaluación 52 -> 2025-05-19 07:56:28.007409 UTC
Evaluación 53 -> 2025-05-19 08:01:49.928272 UTC
Evaluación 54 -> 2025-05-19 08:07:11.063000 UTC
Evaluación 55 -> 2025-05-19 08:12:33.369857 UTC
Evaluación 56 -> 2025-05-19 08:17:53.974262 UTC
Evaluación 57 -> 2025-05-19 08:23:13.563319 UTC
Evaluación 58 -> 2025-05-19 08:28:37.253198 UTC
Evaluación 59 -> 2025-05-19 08:33:57.954556 UTC
Evaluación 60 -> 2025-05-19 08:39:16.408869 UTC
Evaluación 61 -> 2025-05-19 08:44:37.277482 UTC
Evaluación 62 -> 2025-05-19 08:49:57.875677 UTC
Evaluación 63 -> 2025-05-19 08:55:21.531439 UTC
Evaluación 64 -> 2025-05-19 08:58:56.600710 UTC
Evaluación 65 -> 2025-05-19 09:04:30.328963 UTC
Evaluación 66 -> 2025-05-19 09:10:04.639730 UTC
Evaluación 67 -> 2025-05-19 09:13:44.119776 UTC
Evaluación 68 -> 2025-05-19 09:17:24.958223 UTC
Evaluación 69 -> 2025-05-19 09:23:17.204936 UTC
Evaluación 70 -> 2025-05-19 09:29:09.584224 UTC
Evaluación 71 -> 2025-05-19 09:36:25.777616 UTC
Evaluación 72 -> 2025-05-19 09:43:39.363754 UTC
Evaluación 73 -> 2025-05-19 09:51:05.836848 UTC
Evaluación 74 -> 2025-05-19 09:57:15.835328 UTC
Evaluación 75 -> 2025-05-19 10:03:25.670506 UTC
Evaluación 76 -> 2025-05-19 10:09:36.833996 UTC
Evaluación 77 -> 2025-05-19 10:15:46.483886 UTC
Evaluación 78 -> 2025-05-19 10:21:52.231610 UTC
Evaluación 79 -> 2025-05-19 10:27:58.373580 UTC
Evaluación 80 -> 2025-05-19 10:34:02.634690 UTC
Evaluación 81 -> 2025-05-19 10:40:09.400972 UTC
Evaluación 82 -> 2025-05-19 10:46:15.244056 UTC
Evaluación 83 -> 2025-05-19 10:52:20.470152 UTC
Evaluación 84 -> 2025-05-19 10:58:28.767215 UTC
Evaluación 85 -> 2025-05-19 11:02:39.107659 UTC
Evaluación 86 -> 2025-05-19 11:06:43.911858 UTC
Evaluación 87 -> 2025-05-19 11:10:42.176469 UTC
