

---------------------------------------PAINTING  mobilenet  ALEATORIO  100%----------------------------------------------

Start time: 2025-05-20 17:12:12.572901 UTC
Evaluación 1 -> 2025-05-20 17:20:56.583301 UTC


---------------------------------------PAINTING  mobilenet  ALEATORIO  25%----------------------------------------------

Start time: 2025-05-20 17:29:08.758911 UTC
Evaluación 1 -> 2025-05-20 17:31:44.679287 UTC
Evaluación 2 -> 2025-05-20 17:33:53.608597 UTC
Evaluación 3 -> 2025-05-20 17:36:02.704962 UTC
Evaluación 4 -> 2025-05-20 17:38:11.610313 UTC
Evaluación 5 -> 2025-05-20 17:40:19.107788 UTC
Evaluación 6 -> 2025-05-20 17:42:30.704355 UTC
Evaluación 7 -> 2025-05-20 17:44:40.589064 UTC
Evaluación 8 -> 2025-05-20 17:46:50.931599 UTC
Evaluación 9 -> 2025-05-20 17:48:59.361226 UTC
Evaluación 10 -> 2025-05-20 17:51:07.091030 UTC
Evaluación 11 -> 2025-05-20 17:53:29.960169 UTC
Evaluación 12 -> 2025-05-20 17:55:37.374001 UTC
Evaluación 13 -> 2025-05-20 17:57:46.187679 UTC
Evaluación 14 -> 2025-05-20 17:59:54.064974 UTC
Evaluación 15 -> 2025-05-20 18:02:01.566604 UTC
Evaluación 16 -> 2025-05-20 18:04:08.712659 UTC
Evaluación 17 -> 2025-05-20 18:06:18.275230 UTC
Evaluación 18 -> 2025-05-20 18:08:25.945170 UTC
Evaluación 19 -> 2025-05-20 18:10:33.952244 UTC
Evaluación 20 -> 2025-05-20 18:12:41.180498 UTC
Evaluación 21 -> 2025-05-20 18:15:02.880323 UTC
Evaluación 22 -> 2025-05-20 18:17:11.898214 UTC
Evaluación 23 -> 2025-05-20 18:19:20.186383 UTC
Evaluación 24 -> 2025-05-20 18:21:28.225386 UTC
Evaluación 25 -> 2025-05-20 18:23:36.075298 UTC
Evaluación 26 -> 2025-05-20 18:25:48.337235 UTC
Evaluación 27 -> 2025-05-20 18:27:57.066438 UTC
Evaluación 28 -> 2025-05-20 18:30:07.125040 UTC
Evaluación 29 -> 2025-05-20 18:32:15.617596 UTC
Evaluación 30 -> 2025-05-20 18:34:23.529847 UTC
Evaluación 31 -> 2025-05-20 18:36:30.411834 UTC
Evaluación 32 -> 2025-05-20 18:38:37.451596 UTC
Evaluación 33 -> 2025-05-20 18:40:46.394257 UTC
Evaluación 34 -> 2025-05-20 18:42:53.577969 UTC
Evaluación 35 -> 2025-05-20 18:45:01.081803 UTC
Evaluación 36 -> 2025-05-20 18:47:09.751083 UTC
Evaluación 37 -> 2025-05-20 18:49:16.886111 UTC
Evaluación 38 -> 2025-05-20 18:51:25.899875 UTC
Evaluación 39 -> 2025-05-20 18:53:32.521862 UTC
Evaluación 40 -> 2025-05-20 18:55:40.846551 UTC
Evaluación 41 -> 2025-05-20 18:57:48.088781 UTC
Evaluación 42 -> 2025-05-20 18:59:57.550743 UTC
Evaluación 43 -> 2025-05-20 19:02:06.220945 UTC
Evaluación 44 -> 2025-05-20 19:04:17.061019 UTC
Evaluación 45 -> 2025-05-20 19:06:24.092767 UTC
Evaluación 46 -> 2025-05-20 19:08:32.475719 UTC
Evaluación 47 -> 2025-05-20 19:10:41.604721 UTC
Evaluación 48 -> 2025-05-20 19:12:49.010290 UTC
Evaluación 49 -> 2025-05-20 19:15:01.513902 UTC
Evaluación 50 -> 2025-05-20 19:17:11.770202 UTC
Evaluación 51 -> 2025-05-20 19:19:18.648660 UTC
Evaluación 52 -> 2025-05-20 19:21:27.190724 UTC
Evaluación 53 -> 2025-05-20 19:23:34.911538 UTC
