

---------------------------------------RPS  resnet  ALEATORIO  10%----------------------------------------------

Start time: 2025-05-22 15:55:36.091879 UTC
Evaluación 1 -> 2025-05-22 15:56:43.372223 UTC
Evaluación 2 -> 2025-05-22 15:57:39.505494 UTC
Evaluación 3 -> 2025-05-22 15:58:32.759477 UTC
Evaluación 4 -> 2025-05-22 15:59:25.411263 UTC
Evaluación 5 -> 2025-05-22 16:00:19.861648 UTC
Evaluación 6 -> 2025-05-22 16:01:19.390221 UTC
Evaluación 7 -> 2025-05-22 16:02:20.041546 UTC
Evaluación 8 -> 2025-05-22 16:03:13.612130 UTC
Evaluación 9 -> 2025-05-22 16:04:05.666192 UTC
Evaluación 10 -> 2025-05-22 16:04:57.737792 UTC
Evaluación 11 -> 2025-05-22 16:05:41.836803 UTC
Evaluación 12 -> 2025-05-22 16:06:30.355455 UTC
Evaluación 13 -> 2025-05-22 16:07:21.959302 UTC
Evaluación 14 -> 2025-05-22 16:08:12.330492 UTC
Evaluación 15 -> 2025-05-22 16:08:59.124804 UTC
Evaluación 16 -> 2025-05-22 16:09:43.977204 UTC
Evaluación 17 -> 2025-05-22 16:10:36.792446 UTC
Evaluación 18 -> 2025-05-22 16:11:23.377002 UTC
Evaluación 19 -> 2025-05-22 16:12:21.474765 UTC
Evaluación 20 -> 2025-05-22 16:13:15.410239 UTC
Evaluación 21 -> 2025-05-22 16:14:05.364168 UTC
Evaluación 22 -> 2025-05-22 16:14:57.051420 UTC
Evaluación 23 -> 2025-05-22 16:15:42.849244 UTC
Evaluación 24 -> 2025-05-22 16:16:29.677982 UTC
Evaluación 25 -> 2025-05-22 16:17:18.527019 UTC
Evaluación 26 -> 2025-05-22 16:18:08.262648 UTC
Evaluación 27 -> 2025-05-22 16:18:55.172172 UTC
Evaluación 28 -> 2025-05-22 16:19:46.579979 UTC
Evaluación 29 -> 2025-05-22 16:20:35.333705 UTC
Evaluación 30 -> 2025-05-22 16:21:24.434012 UTC
Evaluación 31 -> 2025-05-22 16:22:11.532228 UTC
Evaluación 32 -> 2025-05-22 16:22:59.509711 UTC
Evaluación 33 -> 2025-05-22 16:23:47.236858 UTC
