

---------------------------------------CIFAR10  mobilenet  ALEATORIO  10%----------------------------------------------

Start time: 2025-05-23 13:32:13.606196 UTC
Evaluación 1 -> 2025-05-23 13:35:02.487790 UTC
Evaluación 2 -> 2025-05-23 13:36:57.897529 UTC
Evaluación 3 -> 2025-05-23 13:38:53.331550 UTC
Evaluación 4 -> 2025-05-23 13:40:48.568720 UTC
Evaluación 5 -> 2025-05-23 13:42:43.655768 UTC
Evaluación 6 -> 2025-05-23 13:44:38.955469 UTC
Evaluación 7 -> 2025-05-23 13:46:34.570412 UTC
Evaluación 8 -> 2025-05-23 13:48:29.781751 UTC
Evaluación 9 -> 2025-05-23 13:50:24.772023 UTC
Evaluación 10 -> 2025-05-23 13:52:19.876674 UTC
Evaluación 11 -> 2025-05-23 13:54:15.304460 UTC
Evaluación 12 -> 2025-05-23 13:56:10.525260 UTC
Evaluación 13 -> 2025-05-23 13:58:05.784950 UTC
Evaluación 14 -> 2025-05-23 14:00:01.112071 UTC
Evaluación 15 -> 2025-05-23 14:01:56.554602 UTC
Evaluación 16 -> 2025-05-23 14:03:51.747537 UTC
Evaluación 17 -> 2025-05-23 14:05:47.196027 UTC
Evaluación 18 -> 2025-05-23 14:07:42.546492 UTC
Evaluación 19 -> 2025-05-23 14:09:38.016460 UTC
Evaluación 20 -> 2025-05-23 14:11:33.159936 UTC
Evaluación 21 -> 2025-05-23 14:13:28.459069 UTC
Evaluación 22 -> 2025-05-23 14:15:23.834357 UTC
Evaluación 23 -> 2025-05-23 14:17:19.161818 UTC
Evaluación 24 -> 2025-05-23 14:19:14.490702 UTC
Evaluación 25 -> 2025-05-23 14:21:09.879868 UTC
Evaluación 26 -> 2025-05-23 14:23:05.213155 UTC
Evaluación 27 -> 2025-05-23 14:25:00.703004 UTC
Evaluación 28 -> 2025-05-23 14:26:55.974138 UTC
Evaluación 29 -> 2025-05-23 14:28:51.267021 UTC
Evaluación 30 -> 2025-05-23 14:30:45.726537 UTC
Evaluación 31 -> 2025-05-23 14:32:40.989295 UTC
Evaluación 32 -> 2025-05-23 14:34:35.826416 UTC
Evaluación 33 -> 2025-05-23 14:36:31.112415 UTC
Evaluación 34 -> 2025-05-23 14:38:25.763659 UTC
Evaluación 35 -> 2025-05-23 14:40:21.327622 UTC
Evaluación 36 -> 2025-05-23 14:42:16.596799 UTC
Evaluación 37 -> 2025-05-23 14:44:12.058301 UTC
Evaluación 38 -> 2025-05-23 14:46:07.405329 UTC
Evaluación 39 -> 2025-05-23 14:48:02.734553 UTC
Evaluación 40 -> 2025-05-23 14:49:57.996559 UTC
Evaluación 41 -> 2025-05-23 14:51:53.583987 UTC
Evaluación 42 -> 2025-05-23 14:53:48.832390 UTC
Evaluación 43 -> 2025-05-23 14:55:44.008205 UTC
Evaluación 44 -> 2025-05-23 14:57:39.197981 UTC
Evaluación 45 -> 2025-05-23 14:59:34.652704 UTC
Evaluación 46 -> 2025-05-23 15:01:29.973119 UTC
Evaluación 47 -> 2025-05-23 15:03:25.063074 UTC
Evaluación 48 -> 2025-05-23 15:05:20.757927 UTC
Evaluación 49 -> 2025-05-23 15:07:16.322153 UTC
Evaluación 50 -> 2025-05-23 15:09:11.732000 UTC
Evaluación 51 -> 2025-05-23 15:11:07.112089 UTC
Evaluación 52 -> 2025-05-23 15:13:02.175422 UTC
Evaluación 53 -> 2025-05-23 15:14:57.224546 UTC
Evaluación 54 -> 2025-05-23 15:16:52.829061 UTC
Evaluación 55 -> 2025-05-23 15:18:48.196286 UTC
Evaluación 56 -> 2025-05-23 15:20:43.758789 UTC
Evaluación 57 -> 2025-05-23 15:22:39.153731 UTC
Evaluación 58 -> 2025-05-23 15:24:34.849765 UTC
Evaluación 59 -> 2025-05-23 15:26:29.939365 UTC
Evaluación 60 -> 2025-05-23 15:28:25.295084 UTC
Evaluación 61 -> 2025-05-23 15:30:20.812401 UTC
Evaluación 62 -> 2025-05-23 15:32:16.417597 UTC
Evaluación 63 -> 2025-05-23 15:34:11.869239 UTC
Evaluación 64 -> 2025-05-23 15:36:07.259083 UTC
Evaluación 65 -> 2025-05-23 15:38:02.735775 UTC
Evaluación 66 -> 2025-05-23 15:39:58.343024 UTC
Evaluación 67 -> 2025-05-23 15:41:53.986298 UTC
Evaluación 68 -> 2025-05-23 15:43:49.194975 UTC
Evaluación 69 -> 2025-05-23 15:45:44.494510 UTC
Evaluación 70 -> 2025-05-23 15:47:39.598928 UTC
Evaluación 71 -> 2025-05-23 15:49:35.101579 UTC
Evaluación 72 -> 2025-05-23 15:51:30.751211 UTC
Evaluación 73 -> 2025-05-23 15:53:26.118874 UTC
Evaluación 74 -> 2025-05-23 15:55:21.610704 UTC
Evaluación 75 -> 2025-05-23 15:57:17.127195 UTC
Evaluación 76 -> 2025-05-23 15:59:12.515602 UTC
Evaluación 77 -> 2025-05-23 16:01:07.956016 UTC
Evaluación 78 -> 2025-05-23 16:03:03.134840 UTC
Evaluación 79 -> 2025-05-23 16:04:58.535541 UTC
Evaluación 80 -> 2025-05-23 16:06:54.154030 UTC
Evaluación 81 -> 2025-05-23 16:08:49.776096 UTC
Evaluación 82 -> 2025-05-23 16:10:44.823161 UTC
Evaluación 83 -> 2025-05-23 16:12:40.252203 UTC
Evaluación 84 -> 2025-05-23 16:14:35.436638 UTC
Evaluación 85 -> 2025-05-23 16:16:30.767049 UTC
Evaluación 86 -> 2025-05-23 16:18:26.073440 UTC
Evaluación 87 -> 2025-05-23 16:20:20.616688 UTC
Evaluación 88 -> 2025-05-23 16:22:16.126672 UTC
Evaluación 89 -> 2025-05-23 16:24:10.627619 UTC
Evaluación 90 -> 2025-05-23 16:26:05.799798 UTC
Evaluación 91 -> 2025-05-23 16:28:00.661388 UTC
Evaluación 92 -> 2025-05-23 16:29:55.937192 UTC
Evaluación 93 -> 2025-05-23 16:31:50.978066 UTC
Evaluación 94 -> 2025-05-23 16:33:46.137696 UTC
Evaluación 95 -> 2025-05-23 16:35:41.407309 UTC
Evaluación 96 -> 2025-05-23 16:37:36.903607 UTC
Evaluación 97 -> 2025-05-23 16:39:32.414022 UTC
Evaluación 98 -> 2025-05-23 16:41:27.781014 UTC
Evaluación 99 -> 2025-05-23 16:43:23.118838 UTC
Evaluación 100 -> 2025-05-23 16:45:18.496179 UTC
