Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
RS,1.0,0:02:23.583112,0.8010752688172043,0.8265037275635188,0.8010752688172043,0.7963808374409842,1,1.0,0.33333334,0.33333334,0.33333334
RS,0.1,0:31:41.559826,0.803763440860215,0.8097087125799185,0.803763440860215,0.7984313673240758,100,0.1,0.42063493,0.24206349,0.33730158
RS,0.25,1:03:22.947626,0.7580645161290323,0.8065569424451761,0.7580645161290323,0.7541866635026477,100,0.25,0.30634922,0.34444445,0.34920636
RS,0.5,1:56:21.654865,0.782258064516129,0.8112153637729937,0.782258064516129,0.7772465050176265,100,0.5,0.3436508,0.33650795,0.31984127
RS,0.75,2:49:51.745909,0.7903225806451613,0.8269988339680875,0.7903225806451613,0.7821484302197231,100,0.75,0.33227512,0.33068782,0.33703703
LS,0.1,0:30:41.808321,0.7741935483870968,0.7807621618909935,0.7741935483870968,0.7667289644500713,100,0.1,0.32936507,0.30952382,0.3611111
LS,0.25,1:03:47.187914,0.793010752688172,0.8062468098532791,0.793010752688172,0.7877172929370216,100,0.25,0.32857144,0.3015873,0.36984128
LS,0.5,1:56:23.176692,0.8091397849462365,0.8358568648476905,0.8091397849462365,0.8055888150034128,100,0.5,0.33809525,0.32301587,0.33888888
LS,0.75,2:49:24.840648,0.8064516129032258,0.8363261032752558,0.8064516129032258,0.7996806953422615,100,0.75,0.32539684,0.33333334,0.34126985
GA,0.1,0:30:24.145506,0.8306451612903226,0.8412682595528638,0.8306451612903226,0.8278033138042868,100,0.1,0.32142857,0.30555555,0.37301588
GA,0.25,1:03:32.850239,0.7849462365591398,0.8110635015337517,0.7849462365591398,0.7801351175506204,100,0.25,0.36190477,0.2968254,0.34126985
GA,0.5,1:58:00.119349,0.7768817204301075,0.8145697184598787,0.7768817204301075,0.7690631808278867,100,0.5,0.33492064,0.34285715,0.32222223
GA,0.75,2:53:21.606548,0.7956989247311828,0.8273183329363105,0.7956989247311828,0.7886113295101986,100,0.75,0.32486773,0.32910052,0.34603176
MA,0.1,0:30:38.473410,0.8118279569892473,0.823682757373384,0.8118279569892473,0.8046141339388332,100,0.1,0.32539684,0.3015873,0.37301588
MA,0.25,1:03:01.851742,0.7983870967741935,0.8154907879016539,0.7983870967741935,0.7932430976576073,100,0.25,0.33492064,0.31428573,0.35079366
MA,0.5,1:57:17.856614,0.7903225806451613,0.8251146128504618,0.7903225806451613,0.7865125946327992,100,0.5,0.33412698,0.32063493,0.3452381
MA,0.75,2:49:17.928001,0.8118279569892473,0.8338806708646461,0.8118279569892473,0.8055184388942008,100,0.75,0.33174604,0.33174604,0.33650795
GA-WC,0.1,0:30:15.118996,0.8225806451612904,0.8202833345727671,0.8225806451612904,0.8196289350766612,100,0.1,0.40873015,0.23412699,0.35714287
GA-WC,0.25,1:02:18.305961,0.8064516129032258,0.8312582455297184,0.8064516129032258,0.8019877294138898,100,0.25,0.32380953,0.31587303,0.36031747
GA-WC,0.5,1:57:36.551278,0.8064516129032258,0.8244687634332954,0.8064516129032258,0.8019305837996554,100,0.5,0.33333334,0.31507936,0.3515873
GA-WC,0.75,2:49:41.072913,0.7983870967741935,0.812149633028754,0.7983870967741935,0.7932131872546497,100,0.75,0.33068782,0.32592592,0.34338623
GA-PR,0.1,0:30:17.007236,0.782258064516129,0.7874569580918787,0.782258064516129,0.7755816738867586,100,0.1,0.35714287,0.2857143,0.35714287
GA-PR,0.25,1:02:36.648489,0.8064516129032258,0.8312582455297184,0.8064516129032258,0.8019877294138898,100,0.25,0.32380953,0.31587303,0.36031747
GA-PR,0.5,1:57:36.862970,0.8010752688172043,0.8331030572263662,0.8010752688172043,0.7967960675666229,100,0.5,0.33015874,0.32857144,0.34126985
GA-PR,0.75,3:08:37.981315,0.7983870967741935,0.817670465798808,0.7983870967741935,0.7901554117581993,109,0.75,0.32962963,0.34074074,0.32962963
