,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final
0,100%,1.0,0 days 00:09:16,0.9287383177570092,0.9273812928718936,0.9287383177570092,0.9278351995583828,1,0.90018654
1,RS,0.1,0 days 01:43:17,0.90303738317757,0.8988396864223409,0.90303738317757,0.8994066996291977,100,0.09001866
2,LR,0.1,0 days 01:42:36,0.90303738317757,0.9004483538920831,0.90303738317757,0.90095586375748,100,0.09001866
3,GEN,0.1,0 days 01:41:41,0.90303738317757,0.8988396864223409,0.90303738317757,0.8994066996291977,100,0.09001866
4,MEM,0.1,0 days 01:42:27,0.90303738317757,0.8988396864223409,0.90303738317757,0.8994066996291977,100,0.09001866
5,WC,0.1,0 days 01:42:34,0.905373831775701,0.9018305349287826,0.905373831775701,0.9032227027751316,100,0.09001866
6,PR,0.1,0 days 01:41:33,0.90303738317757,0.8988396864223409,0.90303738317757,0.8994066996291977,109,0.09001866
0,100%,1.0,0 days 00:08:20,0.9228971962616822,0.9206370982003408,0.9228971962616822,0.9211927128034872,1,0.90018654
1,RS,0.1,0 days 01:22:57,0.897196261682243,0.8937475974382824,0.897196261682243,0.8951849960037681,100,0.09001866
2,LR,0.1,0 days 01:21:44,0.9065420560747663,0.9020846349733108,0.9065420560747663,0.9015164154998436,100,0.09001866
3,GEN,0.1,0 days 01:21:12,0.9018691588785048,0.897429742339904,0.9018691588785048,0.8986077671829673,100,0.09001866
4,MEM,0.1,0 days 01:21:32,0.90303738317757,0.9003243686742595,0.90303738317757,0.8985083422729514,100,0.09001866
5,WC,0.1,0 days 01:22:17,0.9042056074766356,0.9012699950631178,0.9042056074766356,0.8999585341033864,100,0.09001866
6,PR,0.1,0 days 01:21:56,0.9065420560747663,0.9043034001246092,0.9065420560747663,0.9036457802653982,100,0.09001866
0,100%,1.0,0 days 00:08:53,0.9123831775700936,0.9101347582370748,0.9123831775700936,0.909048044553668,1,0.90018654
1,RS,0.1,0 days 01:37:40,0.897196261682243,0.8904365825236348,0.897196261682243,0.89124131320393,100,0.09001866
2,LR,0.1,0 days 01:37:19,0.9007009345794392,0.8967226758405165,0.9007009345794392,0.8968973597358451,100,0.09001866
3,GEN,0.1,0 days 01:37:12,0.9007009345794392,0.8953411365743963,0.9007009345794392,0.896668903415211,100,0.09001866
4,MEM,0.1,0 days 01:37:42,0.9018691588785048,0.8991100543515685,0.9018691588785048,0.8992426690469714,100,0.09001866
5,WC,0.1,0 days 01:37:40,0.90303738317757,0.899560966065147,0.90303738317757,0.9007255823536628,100,0.09001866
6,PR,0.1,0 days 01:37:34,0.905373831775701,0.9023769524121592,0.905373831775701,0.9028120071637452,100,0.09001866
0,100%,1.0,0 days 00:09:14,0.927570093457944,0.925983005975197,0.927570093457944,0.9258885178663796,1,0.90018654
1,RS,0.1,0 days 01:43:06,0.9018691588785048,0.8983763263650913,0.9018691588785048,0.8995423989659819,100,0.09001866
2,LR,0.1,0 days 01:42:43,0.9123831775700936,0.9093034705484764,0.9123831775700936,0.9102903210741669,100,0.09001866
3,GEN,0.1,0 days 01:43:49,0.9100467289719626,0.9061063683201532,0.9100467289719626,0.9070292692213894,100,0.09001866
4,MEM,0.1,0 days 01:42:32,0.919392523364486,0.917061216156002,0.919392523364486,0.9172840743100836,100,0.09001866
5,WC,0.1,0 days 01:43:42,0.9100467289719626,0.9066932953741164,0.9100467289719626,0.9078028446925044,100,0.09001866
6,PR,0.1,0 days 01:42:00,0.9100467289719626,0.9066932953741164,0.9100467289719626,0.9078028446925044,109,0.09001866
0,100%,1.0,0 days 00:08:53,0.9205607476635514,0.91857609542415,0.9205607476635514,0.9190988692106032,1,0.90018654
1,RS,0.1,0 days 01:37:19,0.90303738317757,0.8995737676003972,0.90303738317757,0.9009427195396604,100,0.09001866
2,LR,0.1,0 days 01:37:21,0.9065420560747663,0.9032258736256856,0.9065420560747663,0.9034144356175298,100,0.09001866
3,GEN,0.1,0 days 01:37:58,0.9088785046728972,0.9060640484403492,0.9088785046728972,0.9069781309961114,100,0.09001866
4,MEM,0.1,0 days 01:37:48,0.9007009345794392,0.8988763717794606,0.9007009345794392,0.8995561828867357,100,0.09001866
5,WC,0.1,0 days 01:37:29,0.9077102803738316,0.9044628188001104,0.9077102803738316,0.904528673182025,100,0.09001866
6,PR,0.1,0 days 01:37:19,0.90303738317757,0.9007120710426317,0.90303738317757,0.901710743628257,109,0.09001866
