Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final
-,1.0,0 days 00:03:51.600000,0.786021505376344,0.8155220942752109,0.786021505376344,0.7768509940498091,1.0,0.86094975
aleatorio,0.1,0 days 00:32:39.800000,0.8134408602150538,0.8245873538280787,0.8134408602150538,0.8051766377463009,100.0,0.086094975
aleatorio,0.25,0 days 01:02:18,0.806989247311828,0.8189795179366506,0.806989247311828,0.7990355944572972,100.0,0.21523744000000003
aleatorio,0.5,0 days 02:00:46,0.8086021505376344,0.8265395978569685,0.8086021505376344,0.8021916023876716,100.0,0.43047488000000006
aleatorio,0.75,0 days 02:52:33.600000,0.8225806451612904,0.841608900150842,0.8225806451612904,0.8166798965152093,100.0,0.6457123
busqueda local,0.1,0 days 00:30:11.800000,0.8123655913978494,0.8181223495713663,0.8123655913978494,0.8061329483150554,100.0,0.086094975
busqueda local,0.25,0 days 01:02:30.800000,0.824731182795699,0.8395115141401834,0.824731182795699,0.8176485582783025,100.0,0.21523744000000003
busqueda local,0.5,0 days 01:57:37.400000,0.80752688172043,0.8277157306048059,0.80752688172043,0.8009353201672363,100.0,0.43047488000000006
busqueda local,0.75,0 days 02:52:32.200000,0.8236559139784946,0.8397027227275136,0.8236559139784946,0.8167039303600966,100.0,0.6457123
genetico,0.1,0 days 00:30:29.200000,0.8349462365591398,0.8470270093735497,0.8349462365591398,0.8287289214821956,100.0,0.086094975
genetico,0.25,0 days 01:03:21.800000,0.8188172043010752,0.8340308667992128,0.8188172043010752,0.8116286102440174,100.0,0.21523744000000003
genetico,0.5,0 days 02:00:26.400000,0.8134408602150538,0.8307328780078851,0.8134408602150538,0.8072947912120764,100.0,0.43047488000000006
genetico,0.75,0 days 02:58:00.600000,0.8268817204301075,0.8446997140150092,0.8268817204301075,0.8209495094285233,100.0,0.6457123
genetico2,0.1,0 days 00:31:07.600000,0.8290322580645162,0.8346596671110303,0.8290322580645162,0.8237784075861956,100.0,0.086094975
genetico2,0.25,0 days 01:04:40.400000,0.821505376344086,0.8375340968305689,0.821505376344086,0.8148940823134103,100.0,0.21523744000000003
genetico2,0.5,0 days 02:00:57.800000,0.8166666666666668,0.8325549591759132,0.8166666666666668,0.8109759379391367,100.0,0.43047488000000006
genetico2,0.75,0 days 02:56:40.400000,0.8263440860215054,0.8411136478342118,0.8263440860215054,0.8207399339870116,100.0,0.6457123
genetico3,0.1,0 days 00:30:59,0.8301075268817204,0.8410604537096031,0.8301075268817204,0.8221315142127757,101.8,0.086094975
genetico3,0.25,0 days 01:04:28.200000,0.8166666666666667,0.8284555209060631,0.8166666666666667,0.8081623409706049,101.8,0.21523744000000003
genetico3,0.5,0 days 02:01:10.800000,0.814516129032258,0.8324722327965105,0.814516129032258,0.808797032305627,101.8,0.43047488000000006
genetico3,0.75,0 days 02:56:41.400000,0.8252688172043012,0.8402532771745106,0.8252688172043012,0.8196304261499747,103.6,0.6457123
memetico,0.1,0 days 00:31:02.200000,0.8204301075268816,0.8252874879164912,0.8204301075268816,0.8161019308695293,100.0,0.086094975
memetico,0.25,0 days 01:04:26.600000,0.8258064516129032,0.835487651526529,0.8258064516129032,0.8200648653848026,100.0,0.21523744000000003
memetico,0.5,0 days 02:01:20,0.8166666666666667,0.8353432256576827,0.8166666666666667,0.8117866131678951,100.0,0.43047488000000006
memetico,0.75,0 days 02:57:33.600000,0.8258064516129032,0.8432095192522215,0.8258064516129032,0.8199682922070993,100.0,0.6457123
