Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final
-,1.0,0:02:52,0.7849462365591398,0.8116918748319762,0.7849462365591398,0.7779192198829523,1,0.86094975
aleatorio,0.1,0:31:12,0.8064516129032258,0.823869481464982,0.8064516129032258,0.79372170393744,100,0.086094975
aleatorio,0.25,1:03:47,0.8064516129032258,0.8219336219336218,0.8064516129032258,0.7975235040931723,100,0.21523744
aleatorio,0.5,2:03:49,0.803763440860215,0.8229134664618536,0.803763440860215,0.7952808609082166,100,0.43047488
aleatorio,0.75,3:00:23,0.8172043010752689,0.83559366901773,0.8172043010752689,0.8106608331939701,100,0.6457123
busqueda local,0.1,0:31:27,0.8145161290322581,0.8128507295173961,0.8145161290322581,0.8119612068965516,100,0.086094975
busqueda local,0.25,1:04:41,0.8091397849462365,0.8263067061143984,0.8091397849462365,0.8042121090230908,100,0.21523744
busqueda local,0.5,2:02:04,0.8064516129032258,0.8365623563306465,0.8064516129032258,0.8004902280491758,100,0.43047488
busqueda local,0.75,2:59:34,0.8225806451612904,0.8473764727039428,0.8225806451612904,0.8145604004197634,100,0.6457123
genetico,0.1,0:31:48,0.8494623655913979,0.8647760732725671,0.8494623655913979,0.8401801213508581,100,0.086094975
genetico,0.25,1:06:23,0.8252688172043011,0.8425867371926731,0.8252688172043011,0.8182827930077801,100,0.21523744
genetico,0.5,2:05:14,0.8225806451612904,0.8411470980259532,0.8225806451612904,0.8170192993407961,100,0.43047488
genetico,0.75,3:02:28,0.8198924731182796,0.8414634870844323,0.8198924731182796,0.8137905456218968,100,0.6457123
memetico,0.1,0:32:11,0.7876344086021505,0.7886770140428677,0.7876344086021505,0.7828211944090656,100,0.086094975
memetico,0.25,1:05:20,0.8252688172043011,0.8360649041652625,0.8252688172043011,0.8200498916601179,100,0.21523744
memetico,0.5,2:03:52,0.8252688172043011,0.8420070381510405,0.8252688172043011,0.8213087496764566,100,0.43047488
memetico,0.75,3:02:05,0.8198924731182796,0.8414634870844323,0.8198924731182796,0.8137905456218968,100,0.6457123
genetico2,0.1,0:31:48,0.8225806451612904,0.8339181286549708,0.8225806451612904,0.8148536144645093,100,0.086094975
genetico2,0.25,1:05:08,0.7983870967741935,0.8181121833699417,0.7983870967741935,0.7936798920436133,100,0.21523744
genetico2,0.5,2:03:50,0.8145161290322581,0.8288727612257024,0.8145161290322581,0.8084187548858853,100,0.43047488
genetico2,0.75,2:59:33,0.8252688172043011,0.8459924494407253,0.8252688172043011,0.8207935638626915,100,0.6457123
genetico3,0.1,0:32:00,0.8198924731182796,0.8430792601837697,0.8198924731182796,0.8057121614943112,100,0.086094975
genetico3,0.25,1:05:05,0.803763440860215,0.8146285264695965,0.803763440860215,0.7946879882363753,100,0.21523744
genetico3,0.5,2:04:02,0.8145161290322581,0.8288727612257024,0.8145161290322581,0.8084187548858853,100,0.43047488
genetico3,0.75,3:02:36,0.8252688172043011,0.8459924494407253,0.8252688172043011,0.8207935638626915,109,0.6457123
