Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
-,1.0,0 days 00:03:15.600000,0.78602,0.81554,0.78602,0.7768200000000001,1.0,1.0,0.3333,0.3333,0.3333
aleatorio,0.1,0 days 00:38:16.600000,0.8134399999999999,0.8246,0.8134399999999999,0.80518,100.0,0.1,0.36432000000000003,0.31982,0.3159
aleatorio,0.25,0 days 01:18:22.400000,0.807,0.81896,0.807,0.79904,100.0,0.25,0.32888,0.32158,0.34952
aleatorio,0.5,0 days 02:26:40,0.80862,0.8265399999999999,0.80862,0.8022,100.0,0.5,0.32922,0.33398,0.33682
aleatorio,0.75,0 days 03:05:48.800000,0.82258,0.84162,0.82258,0.8166800000000001,100.0,0.75,0.33428,0.33322,0.33248
busqueda local,0.1,0 days 00:33:36,0.81236,0.81814,0.81236,0.8061400000000001,100.0,0.1,0.36032000000000003,0.32384,0.31588000000000005
busqueda local,0.25,0 days 01:07:56.600000,0.8247199999999999,0.83952,0.8247199999999999,0.8176399999999999,100.0,0.25,0.34286,0.3216,0.33554
busqueda local,0.5,0 days 02:08:16,0.80756,0.82772,0.80756,0.80094,100.0,0.5,0.327,0.33887999999999996,0.33414
busqueda local,0.75,0 days 03:06:47.200000,0.82366,0.8397,0.82366,0.8167199999999999,100.0,0.75,0.33574,0.33174000000000003,0.33248
free busqueda local,0.06,0 days 00:28:23.800000,0.83332,0.8419599999999999,0.83332,0.82804,100.0,0.059899999999999995,0.36954000000000004,0.30464,0.32582
genetico,0.1,0 days 00:33:21,0.82958,0.8358399999999999,0.82958,0.8249000000000001,100.0,0.1,0.35556,0.31272,0.33171999999999996
genetico,0.25,0 days 01:18:38.600000,0.8156000000000001,0.8340799999999999,0.8156000000000001,0.8076599999999999,100.0,0.25,0.33682,0.32158,0.3416
genetico,0.5,0 days 02:49:01,0.81182,0.8300599999999999,0.81182,0.8055199999999999,100.0,0.5,0.3319,0.33016,0.33794
genetico,0.75,0 days 03:41:17.200000,0.82796,0.84228,0.82796,0.8224,100.0,0.75,0.33852000000000004,0.33228,0.3292
genetico2,0.1,0 days 00:34:02.600000,0.8360200000000001,0.8438000000000001,0.8360200000000001,0.8281600000000001,100.0,0.1,0.35714,0.29762,0.34526
genetico2,0.25,0 days 01:10:21.400000,0.82366,0.83864,0.82366,0.8157399999999999,100.0,0.25,0.33208000000000004,0.34252000000000005,0.3254
genetico2,0.5,0 days 02:15:43,0.8161200000000001,0.8377600000000001,0.8161200000000001,0.81064,100.0,0.5,0.3265,0.34128,0.33222
genetico2,0.75,0 days 03:33:06.400000,0.8230999999999999,0.8391400000000001,0.8230999999999999,0.8158999999999998,100.0,0.75,0.3327,0.33324,0.33408
genetico3,0.1,0 days 00:34:10.600000,0.8269,0.83888,0.8269,0.8186199999999999,100.0,0.1,0.33809999999999996,0.33254,0.3294
genetico3,0.25,0 days 01:11:27.600000,0.8145199999999999,0.8286999999999999,0.8145199999999999,0.80776,100.0,0.25,0.32855999999999996,0.33776,0.33364
genetico3,0.5,0 days 02:14:51.200000,0.8107599999999999,0.83162,0.8107599999999999,0.80282,100.0,0.5,0.32888,0.33348,0.33762
genetico3,0.75,0 days 03:13:07.600000,0.8236399999999999,0.8386800000000001,0.8236399999999999,0.8167200000000001,100.0,0.75,0.33544,0.33216,0.33238
memetico,0.1,0 days 00:39:46.600000,0.8263400000000001,0.83626,0.8263400000000001,0.8185600000000001,100.0,0.1,0.36904,0.3016,0.32934
memetico,0.25,0 days 01:11:35,0.81454,0.83002,0.81454,0.80494,100.0,0.25,0.32952,0.3254,0.34508
memetico,0.5,0 days 02:13:19,0.8150600000000001,0.83338,0.8150600000000001,0.80998,100.0,0.5,0.3392,0.3273,0.33348
memetico,0.75,0 days 03:13:27.800000,0.8263400000000001,0.8452999999999999,0.8263400000000001,0.8195399999999999,100.0,0.75,0.33533999999999997,0.33174000000000003,0.33292
