Algoritmo,Porcentaje Inicial,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors,Duracion
GEN,0.1,0.82366,0.8374600000000001,0.82366,0.8157399999999999,100.0,0.1,0.34604,0.31428,0.33968,0 days 00:28:30.600000
GEN,0.25,0.8139800000000001,0.82624,0.8139800000000001,0.8074600000000001,100.0,0.25,0.33714,0.32762,0.33524,0 days 00:57:55.600000
GEN,0.5,0.8112999999999999,0.8290599999999999,0.8112999999999999,0.8031599999999999,100.0,0.5,0.33192,0.33364000000000005,0.33446,0 days 01:48:16.200000
GEN,0.75,0.83064,0.8467600000000001,0.83064,0.8242200000000001,100.0,0.75,0.33512,0.33398,0.33088,0 days 02:36:44
WC,0.1,0.8365600000000001,0.8423999999999999,0.8365600000000001,0.83094,100.0,0.1,0.35636,0.30872,0.33492,0 days 00:27:39.200000
WC,0.25,0.8241999999999999,0.8368399999999999,0.8241999999999999,0.81784,100.0,0.25,0.33331999999999995,0.3254,0.34128,0 days 00:57:28.800000
WC,0.5,0.81128,0.82616,0.81128,0.80414,100.0,0.5,0.33936,0.3276,0.33304,0 days 01:47:31.200000
WC,0.75,0.8242,0.83938,0.8242,0.8184799999999999,100.0,0.75,0.3367,0.3311,0.3322,0 days 02:36:40.800000
MEM,0.1,0.8285,0.8444,0.8285,0.8191200000000001,100.0,0.1,0.35791999999999996,0.30952,0.33252000000000004,0 days 00:27:43.400000
MEM,0.25,0.81988,0.8311399999999999,0.81988,0.81214,100.0,0.25,0.31779999999999997,0.33526,0.34700000000000003,0 days 00:57:11.600000
MEM,0.5,0.8150600000000001,0.8336,0.8150600000000001,0.80894,100.0,0.5,0.33936,0.32302,0.33762,0 days 01:47:32.200000
MEM,0.75,0.82742,0.8433399999999999,0.82742,0.82136,100.0,0.75,0.33812,0.3292,0.3327,0 days 02:37:42.800000
