Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
GEN,0.1,0 days 00:31:55,0.8844,0.8861,0.8844,0.8838,100,0.1,0.3968,0.3254,0.2778
GEN,0.25,0 days 01:04:57,0.8414,0.8429,0.8414,0.8367,100,0.25,0.3444,0.3143,0.3413
GEN,0.5,0 days 01:56:19,0.8253,0.8479,0.8253,0.8146,100,0.5,0.3397,0.331,0.3294
GEN,0.75,0 days 02:53:42,0.8414,0.8498,0.8414,0.8366,100,0.75,0.3307,0.3323,0.337
WC,0.1,0 days 00:30:23,0.8763,0.877,0.8763,0.8762,100,0.1,0.381,0.3492,0.2698
WC,0.25,0 days 01:03:28,0.8602,0.8643,0.8602,0.8559,100,0.25,0.346,0.327,0.327
WC,0.5,0 days 01:58:38,0.8226,0.8388,0.8226,0.8137,100,0.5,0.3484,0.3206,0.331
WC,0.75,0 days 02:47:30,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
MEM,0.1,0 days 00:30:42,0.9032,0.9048,0.9032,0.9011,100,0.1,0.3651,0.3214,0.3135
MEM,0.25,0 days 00:50:00,0.8414,0.8486,0.8414,0.8354,100,0.25,0.327,0.3048,0.3683
MEM,0.5,0 days 01:58:26,0.8226,0.8377,0.8226,0.8141,100,0.5,0.3317,0.3262,0.3421
MEM,0.75,0 days 02:47:37,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
