Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
GEN,0.1,0:31:55,0.8844,0.8861,0.8844,0.8838,100,0.1,0.3968,0.3254,0.2778
GEN,0.25,1:04:57,0.8414,0.8429,0.8414,0.8367,100,0.25,0.3444,0.3143,0.3413
GEN,0.5,2:01:09,0.8199,0.8339,0.8199,0.8127,100,0.5,0.331,0.3341,0.3349
GEN,0.75,2:53:42,0.8414,0.8498,0.8414,0.8366,100,0.75,0.3307,0.3323,0.337
MEM,0.1,0:30:42,0.9032,0.9048,0.9032,0.9011,100,0.1,0.3651,0.3214,0.3135
MEM,0.25,1:02:41,0.8333,0.8437,0.8333,0.8246,100,0.25,0.3286,0.3683,0.3032
MEM,0.5,1:58:26,0.8226,0.8377,0.8226,0.8141,100,0.5,0.3317,0.3262,0.3421
MEM,0.75,2:53:14,0.8306,0.84,0.8306,0.8253,100,0.75,0.3376,0.3222,0.3402
WC,0.1,0:30:23,0.8763,0.877,0.8763,0.8762,100,0.1,0.381,0.3492,0.2698
WC,0.25,1:03:28,0.8602,0.8643,0.8602,0.8559,100,0.25,0.346,0.327,0.327
WC,0.5,1:58:38,0.8226,0.8388,0.8226,0.8137,100,0.5,0.3484,0.3206,0.331
WC,0.75,2:52:41,0.828,0.8412,0.828,0.8238,100,0.75,0.337,0.3238,0.3392
