,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Airplane,Porcentaje Automobile,Porcentaje Bird,Porcentaje Cat,Porcentaje Deer,Porcentaje Dog,Porcentaje Frog,Porcentaje Horse,Porcentaje Ship,Porcentaje Truck
0,RS,0.1,0 days 00:05:55,0.7375,0.7361,0.7375,0.7358,2,0.1,0.1002,0.099,0.0988,0.0914,0.1038,0.1026,0.1008,0.1032,0.1044,0.0958
1,LR,0.1,0 days 00:05:42,0.734,0.7389,0.734,0.7344,2,0.1,0.0948,0.101,0.1038,0.0986,0.0986,0.0982,0.099,0.098,0.1068,0.1012
2,LR-F,0.1,0 days 00:03:52,0.7208,0.7243,0.7208,0.7212,2,0.06,0.088,0.1033,0.1057,0.0973,0.102,0.0947,0.098,0.1017,0.1093,0.1
3,GEN,0.1,0 days 00:05:43,0.7375,0.7361,0.7375,0.7358,2,0.1,0.1002,0.099,0.0988,0.0914,0.1038,0.1026,0.1008,0.1032,0.1044,0.0958
4,MEM,0.1,0 days 00:28:32,0.7418,0.7473,0.7418,0.743,10,0.1,0.0938,0.1014,0.1052,0.1056,0.0978,0.1034,0.104,0.0942,0.0982,0.0964
5,MEM-F,0.1,0 days 00:28:38,0.7418,0.7473,0.7418,0.743,10,0.1,0.0938,0.1014,0.1052,0.1056,0.0978,0.1034,0.104,0.0942,0.0982,0.0964
6,WC,0.1,0 days 00:05:42,0.7375,0.7361,0.7375,0.7358,2,0.1,0.1002,0.099,0.0988,0.0914,0.1038,0.1026,0.1008,0.1032,0.1044,0.0958
7,WC-F,0.1,0 days 00:05:42,0.7375,0.7361,0.7375,0.7358,2,0.1,0.1002,0.099,0.0988,0.0914,0.1038,0.1026,0.1008,0.1032,0.1044,0.0958
8,PR,0.1,0 days 00:05:45,0.7375,0.7361,0.7375,0.7358,2,0.1,0.1002,0.099,0.0988,0.0914,0.1038,0.1026,0.1008,0.1032,0.1044,0.0958
0,RS,0.1,0 days 00:05:50,0.7424,0.7411,0.7424,0.7412,2,0.1,0.0976,0.0982,0.103,0.0944,0.1032,0.0914,0.1042,0.1044,0.1048,0.0988
1,LR,0.1,0 days 00:05:40,0.7424,0.7411,0.7424,0.7412,2,0.1,0.0976,0.0982,0.103,0.0944,0.1032,0.0914,0.1042,0.1044,0.1048,0.0988
2,LR-F,0.1,0 days 00:03:47,0.7218,0.7244,0.7218,0.7177,2,0.06,0.1027,0.0987,0.1023,0.091,0.1013,0.091,0.1033,0.1047,0.1067,0.0983
3,GEN,0.1,0 days 00:05:37,0.7424,0.7411,0.7424,0.7412,2,0.1,0.0976,0.0982,0.103,0.0944,0.1032,0.0914,0.1042,0.1044,0.1048,0.0988
4,MEM,0.1,0 days 00:28:13,0.7424,0.7411,0.7424,0.7412,10,0.1,0.0976,0.0982,0.103,0.0944,0.1032,0.0914,0.1042,0.1044,0.1048,0.0988
5,MEM-F,0.1,0 days 00:28:14,0.7424,0.7411,0.7424,0.7412,10,0.1,0.0976,0.0982,0.103,0.0944,0.1032,0.0914,0.1042,0.1044,0.1048,0.0988
6,WC,0.1,0 days 00:05:38,0.7424,0.7411,0.7424,0.7412,2,0.1,0.0976,0.0982,0.103,0.0944,0.1032,0.0914,0.1042,0.1044,0.1048,0.0988
7,WC-F,0.1,0 days 00:05:38,0.7424,0.7411,0.7424,0.7412,2,0.1,0.0976,0.0982,0.103,0.0944,0.1032,0.0914,0.1042,0.1044,0.1048,0.0988
8,PR,0.1,0 days 00:05:37,0.7424,0.7411,0.7424,0.7412,2,0.1,0.0976,0.0982,0.103,0.0944,0.1032,0.0914,0.1042,0.1044,0.1048,0.0988
0,RS,0.1,0 days 00:05:57,0.7401,0.7418,0.7401,0.7394,2,0.1,0.0952,0.0986,0.1038,0.104,0.0964,0.0976,0.1002,0.1056,0.0942,0.1044
