Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Airplane,Porcentaje Automobile,Porcentaje Bird,Porcentaje Cat,Porcentaje Deer,Porcentaje Dog,Porcentaje Frog,Porcentaje Horse,Porcentaje Ship,Porcentaje Truck
100%,1.0,0:16:40,0.7785,0.7788,0.7785,0.7782,1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MEM,0.1,3:18:35,0.7445,0.7483,0.7445,0.7449,100,0.1,0.102,0.0938,0.1002,0.0986,0.0972,0.0978,0.0956,0.1112,0.1074,0.0962
MEM,0.25,7:17:36,0.7627,0.7646,0.7627,0.7629,100,0.25,0.101,0.1031,0.099,0.1032,0.101,0.0995,0.099,0.101,0.094,0.0991
MEM,0.5,13:57:04,0.7763,0.7769,0.7763,0.7755,100,0.5,0.1027,0.0994,0.1021,0.0997,0.0999,0.0999,0.0982,0.1006,0.0971,0.1005
MEM,0.75,20:33:24,0.7794,0.7799,0.7794,0.7789,100,0.75,0.0987,0.1006,0.0999,0.1003,0.1002,0.1007,0.0997,0.1002,0.0995,0.1002
MEM-F,0.1,3:18:31,0.7445,0.7483,0.7445,0.7449,100,0.1,0.102,0.0938,0.1002,0.0986,0.0972,0.0978,0.0956,0.1112,0.1074,0.0962
MEM-F,0.25,7:17:10,0.7627,0.7646,0.7627,0.7629,100,0.25,0.101,0.1031,0.099,0.1032,0.101,0.0995,0.099,0.101,0.094,0.0991
MEM-F,0.5,13:56:51,0.7763,0.7769,0.7763,0.7755,100,0.5,0.1027,0.0994,0.1021,0.0997,0.0999,0.0999,0.0982,0.1006,0.0971,0.1005
MEM-F,0.75,20:32:08,0.7794,0.7799,0.7794,0.7789,100,0.75,0.0987,0.1006,0.0999,0.1003,0.1002,0.1007,0.0997,0.1002,0.0995,0.1002
WC,0.1,3:16:55,0.7438,0.7479,0.7438,0.7445,100,0.1,0.101,0.0968,0.1026,0.0962,0.1008,0.0946,0.1048,0.1038,0.1018,0.0976
WC,0.25,7:15:38,0.7631,0.7644,0.7631,0.763,100,0.25,0.0986,0.0992,0.1048,0.0967,0.0964,0.1022,0.1014,0.0998,0.101,0.0998
WC,0.5,13:56:20,0.7756,0.7751,0.7756,0.775,100,0.5,0.0984,0.1024,0.1024,0.0998,0.0987,0.0982,0.0991,0.1,0.1013,0.0999
WC,0.75,20:34:17,0.7791,0.7785,0.7791,0.7781,100,0.75,0.1018,0.0998,0.0998,0.1001,0.0991,0.0998,0.1022,0.0984,0.0996,0.0995
WC-F,0.1,3:16:43,0.7438,0.7479,0.7438,0.7445,100,0.1,0.101,0.0968,0.1026,0.0962,0.1008,0.0946,0.1048,0.1038,0.1018,0.0976
WC-F,0.25,7:15:41,0.7631,0.7644,0.7631,0.763,100,0.25,0.0986,0.0992,0.1048,0.0967,0.0964,0.1022,0.1014,0.0998,0.101,0.0998
WC-F,0.5,13:56:49,0.7756,0.7751,0.7756,0.775,100,0.5,0.0984,0.1024,0.1024,0.0998,0.0987,0.0982,0.0991,0.1,0.1013,0.0999
WC-F,0.75,20:34:36,0.7791,0.7785,0.7791,0.7781,100,0.75,0.1018,0.0998,0.0998,0.1001,0.0991,0.0998,0.1022,0.0984,0.0996,0.0995
