Algoritmo,Porcentaje Inicial,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors,Duracion
genetico,0.1,0.8266199999999999,0.83665,0.8266199999999999,0.82032,100.0,0.1,0.3508,0.3135,0.3357,0 days 00:30:55.800000
genetico,0.25,0.81479,0.83016,0.81479,0.80756,100.0,0.25,0.33698,0.3246,0.33842,0 days 01:08:17.100000
genetico,0.5,0.8115600000000001,0.8295600000000001,0.8115600000000001,0.80434,100.0,0.5,0.33191000000000004,0.3319,0.3362,0 days 02:18:38.600000
genetico,0.75,0.8292999999999999,0.8445199999999999,0.8292999999999999,0.82331,100.0,0.75,0.33682,0.33313,0.33004,0 days 03:09:00.600000
genetico2,0.1,0.83629,0.8431,0.83629,0.82955,100.0,0.1,0.35675,0.30317,0.34009,0 days 00:30:50.900000
genetico2,0.25,0.82393,0.8377399999999999,0.82393,0.8167899999999999,100.0,0.25,0.3327,0.33396,0.33334,0 days 01:03:55.100000
genetico2,0.5,0.8137000000000001,0.8319599999999999,0.8137000000000001,0.80739,100.0,0.5,0.33293,0.33444,0.33263,0 days 02:01:37.100000
genetico2,0.75,0.82365,0.83926,0.82365,0.8171899999999999,100.0,0.75,0.3347,0.33216999999999997,0.33314,0 days 03:04:53.600000
genetico2 (libre),0.1,0.82957,0.84038,0.82957,0.8224199999999999,100.0,0.14614,0.358,0.32052,0.32148,0 days 00:39:27.500000
genetico2 (libre),0.25,0.82822,0.83689,0.82822,0.82315,100.0,0.23818,0.35396,0.31982,0.32624,0 days 01:13:30.400000
genetico2 (libre),0.5,0.82797,0.8438000000000001,0.82797,0.8227,100.0,0.60259,0.33748999999999996,0.33205999999999997,0.33043999999999996,0 days 02:17:35.300000
genetico2 (libre),0.75,0.8228300000000001,0.8397399999999999,0.8228300000000001,0.8157099999999999,100.0,0.72139,0.3368,0.33114,0.33205,0 days 02:53:50.100000
genetico3,0.1,0.82312,0.8347899999999999,0.82312,0.81526,100.0,0.1,0.34165999999999996,0.32699,0.33137,0 days 00:31:36.400000
genetico3,0.25,0.82044,0.8332499999999999,0.82044,0.8137000000000001,100.0,0.25,0.33238,0.33523000000000003,0.33238,0 days 01:05:54.800000
genetico3,0.5,0.8115600000000001,0.83125,0.8115600000000001,0.80434,100.0,0.5,0.33048,0.33276,0.33675,0 days 02:04:02
genetico3,0.75,0.8252599999999999,0.84099,0.8252599999999999,0.8186500000000001,100.0,0.75,0.33533,0.33327,0.33138,0 days 02:57:15.900000
memetico,0.1,0.82742,0.84033,0.82742,0.81884,100.0,0.1,0.36347999999999997,0.30556,0.33093,0 days 00:33:45
memetico,0.25,0.81721,0.83058,0.81721,0.80854,100.0,0.25,0.32366,0.33033,0.34604,0 days 01:04:23.300000
memetico,0.5,0.8150600000000001,0.83349,0.8150600000000001,0.80946,100.0,0.5,0.33927999999999997,0.32516,0.33555,0 days 02:00:25.600000
memetico,0.75,0.8268800000000001,0.84432,0.8268800000000001,0.8204499999999999,100.0,0.75,0.33673000000000003,0.33047,0.33281,0 days 02:55:35.300000
