,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
0,RS,0.1,0 days 00:38:54,0.7984,0.8004,0.7984,0.7884,100,0.1,0.3929,0.2817,0.3254
1,RS,0.25,0 days 01:19:48,0.8091,0.8253,0.8091,0.8019,100,0.25,0.3333,0.3206,0.346
2,RS,0.5,0 days 02:30:51,0.8011,0.8224,0.8011,0.7947,100,0.5,0.3246,0.3222,0.3532
3,RS,0.75,0 days 02:51:51,0.8199,0.8397,0.8199,0.8118,100,0.75,0.3376,0.3307,0.3317
0,RS,0.1,0 days 00:39:05,0.7849,0.8111,0.7849,0.7685,100,0.1,0.3135,0.3333,0.3532
1,RS,0.25,0 days 01:20:07,0.7957,0.8127,0.7957,0.7865,100,0.25,0.327,0.3413,0.3317
2,RS,0.5,0 days 02:31:31,0.8038,0.8271,0.8038,0.7996,100,0.5,0.3381,0.3278,0.3341
3,RS,0.75,0 days 02:51:48,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
0,RS,0.1,0 days 00:41:16,0.8602,0.8659,0.8602,0.859,100,0.1,0.381,0.3254,0.2937
1,RS,0.25,0 days 01:24:13,0.8253,0.8281,0.8253,0.8177,100,0.25,0.3095,0.3222,0.3683
2,RS,0.5,0 days 02:36:04,0.8253,0.8403,0.8253,0.8205,100,0.5,0.3254,0.3429,0.3317
3,RS,0.75,0 days 03:08:29,0.8253,0.844,0.8253,0.8202,100,0.75,0.3265,0.3386,0.3349
0,RS,0.1,0 days 00:36:01,0.8065,0.8239,0.8065,0.7937,100,0.1,0.3929,0.3135,0.2937
1,RS,0.25,0 days 01:13:36,0.8065,0.8219,0.8065,0.7975,100,0.25,0.3333,0.319,0.3476
2,RS,0.5,0 days 02:17:24,0.8038,0.8229,0.8038,0.7953,100,0.5,0.3413,0.3365,0.3222
3,RS,0.75,0 days 03:19:17,0.8172,0.8356,0.8172,0.8107,100,0.75,0.3333,0.3328,0.3339
0,RS,0.1,0 days 00:36:07,0.8172,0.8217,0.8172,0.8163,100,0.1,0.3413,0.3452,0.3135
1,RS,0.25,0 days 01:14:08,0.7984,0.8068,0.7984,0.7916,100,0.25,0.3413,0.3048,0.354
2,RS,0.5,0 days 02:17:30,0.8091,0.82,0.8091,0.8009,100,0.5,0.3167,0.3405,0.3429
3,RS,0.75,0 days 03:17:39,0.8199,0.841,0.8199,0.8152,100,0.75,0.3317,0.337,0.3312
