Algoritmo,Porcentaje Inicial,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors,Duracion
-,1.0,0.78602,0.81554,0.78602,0.7768200000000001,1.0,1.0,0.3333,0.3333,0.3333,0 days 00:03:15.600000
aleatorio,0.1,0.8134399999999999,0.8246,0.8134399999999999,0.80518,100.0,0.1,0.36432000000000003,0.31982,0.3159,0 days 00:38:16.600000
aleatorio,0.25,0.807,0.81896,0.807,0.79904,100.0,0.25,0.32888,0.32158,0.34952,0 days 01:18:22.400000
aleatorio,0.5,0.80862,0.8265399999999999,0.80862,0.8022,100.0,0.5,0.32922,0.33398,0.33682,0 days 02:26:40
aleatorio,0.75,0.82258,0.84162,0.82258,0.8166800000000001,100.0,0.75,0.33428,0.33322,0.33248,0 days 03:05:48.800000
busqueda local,0.1,0.81236,0.81814,0.81236,0.8061400000000001,100.0,0.1,0.36032000000000003,0.32384,0.31588000000000005,0 days 00:33:36
busqueda local,0.25,0.8247199999999999,0.83952,0.8247199999999999,0.8176399999999999,100.0,0.25,0.34286,0.3216,0.33554,0 days 01:07:56.600000
busqueda local,0.5,0.80756,0.82772,0.80756,0.80094,100.0,0.5,0.327,0.33887999999999996,0.33414,0 days 02:08:16
busqueda local,0.75,0.82366,0.8397,0.82366,0.8167199999999999,100.0,0.75,0.33574,0.33174000000000003,0.33248,0 days 03:06:47.200000
busqueda local (libre),0.06,0.83226,0.8370000000000001,0.83226,0.8271200000000001,100.0,0.07372,0.39182,0.29166,0.3165,0 days 00:38:29
busqueda local (libre),0.12,0.8091,0.8273,0.8091,0.7982,100.0,0.1405,0.3192,0.3616,0.3192,0 days 01:00:37
busqueda local (libre),0.35,0.8091,0.8312,0.8091,0.7976,100.0,0.3317,0.3337,0.3457,0.3206,0 days 01:36:58
busqueda local (libre),0.37,0.836,0.8396,0.836,0.8319,100.0,0.3778,0.3309,0.3382,0.3309,0 days 01:57:20
busqueda local (libre),0.4,0.82125,0.8330500000000001,0.82125,0.8134,100.0,0.4111,0.3367,0.3268,0.33655,0 days 02:20:47.500000
busqueda local (libre),0.5,0.8145,0.826,0.8145,0.8061,100.0,0.477,0.3228,0.3536,0.3236,0 days 03:13:08
busqueda local (libre),0.57,0.8253,0.8372,0.8253,0.8177,100.0,0.5746,0.3287,0.3425,0.3287,0 days 03:54:51
busqueda local (libre),0.58,0.8145,0.8237,0.8145,0.8076,100.0,0.5845,0.3252,0.3374,0.3374,0 days 04:02:37
busqueda local (libre),0.61,0.8172,0.833,0.8172,0.8129,100.0,0.6226,0.3295,0.3429,0.3276,0 days 04:12:56
busqueda local (libre),0.63,0.836,0.8443,0.836,0.8277,100.0,0.6345,0.3333,0.3308,0.3358,0 days 02:36:50
busqueda local (libre),0.67,0.8387,0.8459000000000001,0.8387,0.83395,100.0,0.6698500000000001,0.33545,0.3377,0.32685,0 days 03:02:57.500000
busqueda local (libre),0.71,0.8306,0.8493,0.8306,0.8242,100.0,0.7385,0.3267,0.3299,0.3434,0 days 03:18:16
busqueda local (libre),0.85,0.8199,0.8371,0.8199,0.8156,100.0,0.8571,0.3361,0.3301,0.3338,0 days 03:49:48
busqueda local (libre),0.87,0.8226,0.8422,0.8226,0.8176,100.0,0.8833,0.3347,0.3329,0.3324,0 days 04:32:32
genetico,0.1,0.82958,0.8358399999999999,0.82958,0.8249000000000001,100.0,0.1,0.35556,0.31272,0.33171999999999996,0 days 00:33:21
genetico,0.25,0.8156000000000001,0.8340799999999999,0.8156000000000001,0.8076599999999999,100.0,0.25,0.33682,0.32158,0.3416,0 days 01:18:38.600000
genetico,0.5,0.81182,0.8300599999999999,0.81182,0.8055199999999999,100.0,0.5,0.3319,0.33016,0.33794,0 days 02:49:01
genetico,0.75,0.82796,0.84228,0.82796,0.8224,100.0,0.75,0.33852000000000004,0.33228,0.3292,0 days 03:41:17.200000
genetico2,0.1,0.8360200000000001,0.8438000000000001,0.8360200000000001,0.8281600000000001,100.0,0.1,0.35714,0.29762,0.34526,0 days 00:34:02.600000
genetico2,0.25,0.82366,0.83864,0.82366,0.8157399999999999,100.0,0.25,0.33208000000000004,0.34252000000000005,0.3254,0 days 01:10:21.400000
genetico2,0.5,0.8161200000000001,0.8377600000000001,0.8161200000000001,0.81064,100.0,0.5,0.3265,0.34128,0.33222,0 days 02:15:43
genetico2,0.75,0.8230999999999999,0.8391400000000001,0.8230999999999999,0.8158999999999998,100.0,0.75,0.3327,0.33324,0.33408,0 days 03:33:06.400000
genetico2 (libre),0.1,0.8295600000000001,0.84008,0.8295600000000001,0.8236000000000001,100.0,0.14286000000000001,0.3555,0.3129,0.3316,0 days 00:44:22.400000
genetico2 (libre),0.25,0.8387,0.84718,0.8387,0.8344799999999999,100.0,0.20951999999999998,0.35772,0.32494,0.31738,0 days 01:19:47.600000
genetico2 (libre),0.5,0.8199,0.83542,0.8199,0.8150600000000001,100.0,0.74154,0.3368,0.33438,0.32882,0 days 02:43:46.400000
genetico2 (libre),0.75,0.8236399999999999,0.84008,0.8236399999999999,0.8167,100.0,0.71556,0.3342,0.33296000000000003,0.33284,0 days 03:14:15.200000
genetico3,0.1,0.8269,0.83888,0.8269,0.8186199999999999,100.0,0.1,0.33809999999999996,0.33254,0.3294,0 days 00:34:10.600000
genetico3,0.25,0.8145199999999999,0.8286999999999999,0.8145199999999999,0.80776,100.0,0.25,0.32855999999999996,0.33776,0.33364,0 days 01:11:27.600000
genetico3,0.5,0.8107599999999999,0.83162,0.8107599999999999,0.80282,100.0,0.5,0.32888,0.33348,0.33762,0 days 02:14:51.200000
genetico3,0.75,0.8236399999999999,0.8386800000000001,0.8236399999999999,0.8167200000000001,100.0,0.75,0.33544,0.33216,0.33238,0 days 03:13:07.600000
memetico,0.1,0.8263400000000001,0.83626,0.8263400000000001,0.8185600000000001,100.0,0.1,0.36904,0.3016,0.32934,0 days 00:39:46.600000
memetico,0.25,0.81454,0.83002,0.81454,0.80494,100.0,0.25,0.32952,0.3254,0.34508,0 days 01:11:35
memetico,0.5,0.8150600000000001,0.83338,0.8150600000000001,0.80998,100.0,0.5,0.3392,0.3273,0.33348,0 days 02:13:19
memetico,0.75,0.8263400000000001,0.8452999999999999,0.8263400000000001,0.8195399999999999,100.0,0.75,0.33533999999999997,0.33174000000000003,0.33292,0 days 03:13:27.800000
