Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
-,1.0,0 days 00:03:19,0.8011,0.8155,0.8011,0.7943,1,1.0,0.3333,0.3333,0.3333
aleatorio,0.1,0 days 00:41:16,0.8602,0.8659,0.8602,0.859,100,0.1,0.381,0.3254,0.2937
aleatorio,0.25,0 days 01:24:13,0.8253,0.8281,0.8253,0.8177,100,0.25,0.3095,0.3222,0.3683
aleatorio,0.5,0 days 02:36:04,0.8253,0.8403,0.8253,0.8205,100,0.5,0.3254,0.3429,0.3317
aleatorio,0.75,0 days 02:51:48,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
busqueda local,0.1,0 days 00:33:19,0.8414,0.8429,0.8414,0.8363,100,0.1,0.3452,0.3611,0.2937
busqueda local,0.25,0 days 01:08:18,0.8575,0.8741,0.8575,0.8479,100,0.25,0.3651,0.3238,0.3111
busqueda local,0.5,0 days 02:10:08,0.828,0.8418,0.828,0.82,100,0.5,0.3151,0.3397,0.3452
busqueda local,0.75,0 days 03:11:45,0.8414,0.8451,0.8414,0.836,100,0.75,0.3333,0.328,0.3386
busqueda local (libre),0.06,0 days 00:33:28,0.8844,0.8948,0.8844,0.8789,100,0.0623,0.3503,0.3567,0.293
busqueda local (libre),0.12,0 days 01:00:37,0.8091,0.8273,0.8091,0.7982,100,0.1405,0.3192,0.3616,0.3192
busqueda local (libre),0.35,0 days 01:36:58,0.8091,0.8312,0.8091,0.7976,100,0.3317,0.3337,0.3457,0.3206
busqueda local (libre),0.37,0 days 01:57:20,0.836,0.8396,0.836,0.8319,100,0.3778,0.3309,0.3382,0.3309
busqueda local (libre),0.4,0 days 01:57:31,0.8253,0.8386,0.8253,0.8177,100,0.419,0.3456,0.3258,0.3286
busqueda local (libre),0.5,0 days 03:13:08,0.8145,0.826,0.8145,0.8061,100,0.477,0.3228,0.3536,0.3236
busqueda local (libre),0.57,0 days 03:54:51,0.8253,0.8372,0.8253,0.8177,100,0.5746,0.3287,0.3425,0.3287
busqueda local (libre),0.58,0 days 04:02:37,0.8145,0.8237,0.8145,0.8076,100,0.5845,0.3252,0.3374,0.3374
busqueda local (libre),0.61,0 days 04:12:56,0.8172,0.833,0.8172,0.8129,100,0.6226,0.3295,0.3429,0.3276
busqueda local (libre),0.63,0 days 02:36:50,0.836,0.8443,0.836,0.8277,100,0.6345,0.3333,0.3308,0.3358
busqueda local (libre),0.67,0 days 03:06:04,0.8387,0.8453,0.8387,0.8331,100,0.6492,0.3301,0.3484,0.3215
busqueda local (libre),0.71,0 days 03:18:16,0.8306,0.8493,0.8306,0.8242,100,0.7385,0.3267,0.3299,0.3434
busqueda local (libre),0.85,0 days 03:49:48,0.8199,0.8371,0.8199,0.8156,100,0.8571,0.3361,0.3301,0.3338
busqueda local (libre),0.87,0 days 04:32:32,0.8226,0.8422,0.8226,0.8176,100,0.8833,0.3347,0.3329,0.3324
genetico,0.1,0 days 00:33:04,0.8763,0.88,0.8763,0.8734,100,0.1,0.369,0.3492,0.2817
genetico,0.25,0 days 01:10:30,0.8575,0.8751,0.8575,0.8482,100,0.25,0.354,0.3317,0.3143
genetico,0.5,0 days 02:11:26,0.8306,0.8503,0.8306,0.823,100,0.5,0.3357,0.323,0.3413
genetico,0.75,0 days 04:46:17,0.836,0.8481,0.836,0.8311,100,0.75,0.3317,0.3349,0.3333
genetico2,0.1,0 days 00:32:59,0.8871,0.8885,0.8871,0.8847,100,0.1,0.3373,0.3571,0.3056
genetico2,0.25,0 days 01:08:45,0.879,0.8903,0.879,0.8736,100,0.25,0.3556,0.3333,0.3111
genetico2,0.5,0 days 02:11:00,0.836,0.8514,0.836,0.8308,100,0.5,0.3302,0.3294,0.3405
genetico2,0.75,0 days 03:12:28,0.8306,0.8446,0.8306,0.8235,100,0.75,0.3233,0.336,0.3407
genetico2 (libre),0.1,0 days 00:28:48,0.8978,0.8976,0.8978,0.8964,100,0.0853,0.3907,0.3302,0.2791
genetico2 (libre),0.25,0 days 01:00:23,0.8763,0.8784,0.8763,0.8722,100,0.1488,0.3627,0.3227,0.3147
genetico2 (libre),0.5,0 days 02:08:27,0.8306,0.8364,0.8306,0.8266,100,0.4937,0.3505,0.3223,0.3272
genetico2 (libre),0.75,0 days 02:56:44,0.8306,0.8425,0.8306,0.8235,100,0.9627,0.3364,0.3318,0.3318
genetico3,0.1,0 days 00:33:50,0.871,0.8707,0.871,0.8684,100,0.1,0.3651,0.3571,0.2778
genetico3,0.25,0 days 01:09:38,0.836,0.845,0.836,0.8293,100,0.25,0.346,0.346,0.3079
genetico3,0.5,0 days 02:09:30,0.8333,0.8477,0.8333,0.8267,100,0.5,0.3444,0.3397,0.3159
genetico3,0.75,0 days 03:03:17,0.8333,0.8373,0.8333,0.8285,100,0.75,0.336,0.3243,0.3397
memetico,0.1,0 days 00:32:59,0.8817,0.8817,0.8817,0.8804,100,0.1,0.373,0.3571,0.2698
memetico,0.25,0 days 01:10:39,0.8414,0.8671,0.8414,0.8274,100,0.25,0.3333,0.354,0.3127
memetico,0.5,0 days 02:09:27,0.8441,0.8509,0.8441,0.8385,100,0.5,0.3524,0.3222,0.3254
memetico,0.75,0 days 02:52:43,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
