,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
0,AM-F,0.1,0 days 00:29:07,0.8925,0.8965,0.8925,0.8925,100,0.071,0.419,0.3352,0.2458
1,AM-F,0.25,0 days 01:29:07,0.8333,0.8358,0.8333,0.8288,100,0.2282,0.3513,0.327,0.3217
2,AM-F,0.5,0 days 01:20:27,0.871,0.882,0.871,0.8667,100,0.2726,0.3581,0.329,0.313
3,AM-F,0.75,0 days 03:08:14,0.8306,0.84,0.8306,0.8226,100,0.6361,0.35,0.3144,0.3356
0,AM-F,0.1,0 days 00:32:35,0.8038,0.8161,0.8038,0.7876,100,0.1567,0.3468,0.3266,0.3266
1,AM-F,0.25,0 days 00:59:13,0.8118,0.8221,0.8118,0.8058,100,0.1885,0.3474,0.3242,0.3284
2,AM-F,0.5,0 days 01:50:02,0.8495,0.8559,0.8495,0.8449,100,0.5599,0.3409,0.3253,0.3338
3,AM-F,0.75,0 days 02:31:34,0.8199,0.841,0.8199,0.8152,100,0.75,0.3317,0.337,0.3312
0,AM-F,0.1,0 days 00:45:00,0.8091,0.8283,0.8091,0.801,100,0.2698,0.3471,0.3147,0.3382
1,AM-F,0.25,0 days 01:03:02,0.8065,0.8213,0.8065,0.8003,100,0.2274,0.3525,0.3159,0.3316
2,AM-F,0.5,0 days 01:42:01,0.8118,0.8375,0.8118,0.8082,100,0.4476,0.3271,0.3324,0.3404
3,AM-F,0.75,0 days 02:30:57,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
0,AM-F,0.1,0 days 00:34:29,0.828,0.833,0.828,0.8212,100,0.1714,0.3241,0.3495,0.3264
1,AM-F,0.25,0 days 01:01:17,0.8145,0.828,0.8145,0.8084,100,0.4921,0.3371,0.3298,0.3331
2,AM-F,0.5,0 days 02:14:05,0.8199,0.8375,0.8199,0.8127,100,0.623,0.3331,0.335,0.3318
3,AM-F,0.75,0 days 02:12:18,0.8118,0.8326,0.8118,0.7996,100,0.75,0.3397,0.3354,0.3249
0,AM-F,0.1,0 days 00:31:32,0.8145,0.8295,0.8145,0.8039,100,0.0782,0.3655,0.3147,0.3198
1,AM-F,0.25,0 days 01:03:27,0.8226,0.8258,0.8226,0.8158,100,0.198,0.3627,0.2766,0.3607
2,AM-F,0.5,0 days 02:10:26,0.828,0.848,0.828,0.8192,100,0.4151,0.3317,0.327,0.3413
3,AM-F,0.75,0 days 02:24:02,0.8172,0.8356,0.8172,0.8107,100,0.75,0.3333,0.3328,0.3339
