Algoritmo,Porcentaje Inicial,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors,Duracion
AM,0.1,0.8365600000000001,0.8423999999999999,0.8365600000000001,0.83094,100.0,0.1,0.35636,0.30872,0.33492,0 days 00:27:39.200000
AM,0.25,0.8241999999999999,0.8368399999999999,0.8241999999999999,0.81784,100.0,0.25,0.33331999999999995,0.3254,0.34128,0 days 00:57:28.800000
AM,0.5,0.81128,0.82616,0.81128,0.80414,100.0,0.5,0.33936,0.3276,0.33304,0 days 01:47:31.200000
AM,0.75,0.8242,0.83938,0.8242,0.8184799999999999,100.0,0.75,0.3367,0.3311,0.3322,0 days 02:36:40.800000
AM-F,0.1,0.82958,0.8406800000000001,0.82958,0.8212400000000001,100.0,0.14942,0.3605,0.32814,0.31135999999999997,0 days 00:34:32.600000
AM-F,0.25,0.81774,0.8266,0.81774,0.81182,100.0,0.26684,0.35019999999999996,0.31470000000000004,0.3351,0 days 01:07:13.200000
AM-F,0.5,0.83604,0.85218,0.83604,0.83034,100.0,0.46364,0.33818000000000004,0.32974000000000003,0.33205999999999997,0 days 01:51:24.200000
AM-F,0.75,0.82202,0.8394,0.82202,0.81472,100.0,0.72722,0.33940000000000003,0.32932,0.33126,0 days 02:33:25
LR,0.1,0.81236,0.81814,0.81236,0.8061400000000001,100.0,0.1,0.36032000000000003,0.32384,0.31588000000000005,0 days 00:33:36
LR,0.25,0.8247199999999999,0.83952,0.8247199999999999,0.8176399999999999,100.0,0.25,0.34286,0.3216,0.33554,0 days 01:07:56.600000
LR,0.5,0.80756,0.82772,0.80756,0.80094,100.0,0.5,0.327,0.33887999999999996,0.33414,0 days 02:08:16
LR,0.75,0.82366,0.8397,0.82366,0.8167199999999999,100.0,0.75,0.33574,0.33174000000000003,0.33248,0 days 03:06:47.200000
LR-F,0.06,0.83226,0.8370000000000001,0.83226,0.8271200000000001,100.0,0.07372000000000001,0.39182,0.29166,0.3165,0 days 00:38:29
LR-F,0.12,0.8091,0.8273,0.8091,0.7982,100.0,0.1405,0.3192,0.3616,0.3192,0 days 01:00:37
LR-F,0.35,0.8091,0.8312,0.8091,0.7976,100.0,0.3317,0.3337,0.3457,0.3206,0 days 01:36:58
LR-F,0.37,0.836,0.8396,0.836,0.8319,100.0,0.3778,0.3309,0.3382,0.3309,0 days 01:57:20
LR-F,0.4,0.82125,0.8330500000000001,0.82125,0.8134,100.0,0.4111,0.3367,0.3268,0.33655,0 days 02:20:47.500000
LR-F,0.5,0.8145,0.826,0.8145,0.8061,100.0,0.477,0.3228,0.3536,0.3236,0 days 03:13:08
LR-F,0.57,0.8253,0.8372,0.8253,0.8177,100.0,0.5746,0.3287,0.3425,0.3287,0 days 03:54:51
LR-F,0.58,0.8145,0.8237,0.8145,0.8076,100.0,0.5845,0.3252,0.3374,0.3374,0 days 04:02:37
LR-F,0.61,0.8172,0.833,0.8172,0.8129,100.0,0.6226,0.3295,0.3429,0.3276,0 days 04:12:56
LR-F,0.63,0.836,0.8443,0.836,0.8277,100.0,0.6345,0.3333,0.3308,0.3358,0 days 02:36:50
LR-F,0.67,0.8387,0.8459000000000001,0.8387,0.83395,100.0,0.6698500000000001,0.33545,0.3377,0.32685,0 days 03:02:57.500000
LR-F,0.71,0.8306,0.8493,0.8306,0.8242,100.0,0.7385,0.3267,0.3299,0.3434,0 days 03:18:16
LR-F,0.85,0.8199,0.8371,0.8199,0.8156,100.0,0.8571,0.3361,0.3301,0.3338,0 days 03:49:48
LR-F,0.87,0.8226,0.8422,0.8226,0.8176,100.0,0.8833,0.3347,0.3329,0.3324,0 days 04:32:32
