Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
-,1.0,0 days 00:03:26,0.8011,0.8261,0.8011,0.7929,1,1.0,0.3333,0.3333,0.3333
aleatorio,0.1,0 days 00:41:16,0.8602,0.8659,0.8602,0.859,100,0.1,0.381,0.3254,0.2937
aleatorio,0.25,0 days 01:24:13,0.8253,0.8281,0.8253,0.8177,100,0.25,0.3095,0.3222,0.3683
aleatorio,0.5,0 days 02:36:04,0.8253,0.8403,0.8253,0.8205,100,0.5,0.3254,0.3429,0.3317
aleatorio,0.75,0 days 02:51:48,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
busqueda local,0.1,0 days 00:33:19,0.8414,0.8429,0.8414,0.8363,100,0.1,0.3452,0.3611,0.2937
busqueda local,0.25,0 days 01:08:18,0.8575,0.8741,0.8575,0.8479,100,0.25,0.3651,0.3238,0.3111
busqueda local,0.5,0 days 02:10:08,0.828,0.8418,0.828,0.82,100,0.5,0.3151,0.3397,0.3452
busqueda local,0.75,0 days 03:11:45,0.8414,0.8451,0.8414,0.836,100,0.75,0.3333,0.328,0.3386
busqueda local (libre),0.06,0 days 00:33:28,0.8844,0.8948,0.8844,0.8789,100,0.0623,0.3503,0.3567,0.293
busqueda local (libre),0.12,0 days 01:00:37,0.8091,0.8273,0.8091,0.7982,100,0.1405,0.3192,0.3616,0.3192
busqueda local (libre),0.35,0 days 01:36:58,0.8091,0.8312,0.8091,0.7976,100,0.3317,0.3337,0.3457,0.3206
busqueda local (libre),0.37,0 days 01:57:20,0.836,0.8396,0.836,0.8319,100,0.3778,0.3309,0.3382,0.3309
busqueda local (libre),0.4,0 days 01:57:31,0.8253,0.8386,0.8253,0.8177,100,0.419,0.3456,0.3258,0.3286
busqueda local (libre),0.5,0 days 03:13:08,0.8145,0.826,0.8145,0.8061,100,0.477,0.3228,0.3536,0.3236
busqueda local (libre),0.57,0 days 03:54:51,0.8253,0.8372,0.8253,0.8177,100,0.5746,0.3287,0.3425,0.3287
busqueda local (libre),0.58,0 days 04:02:37,0.8145,0.8237,0.8145,0.8076,100,0.5845,0.3252,0.3374,0.3374
busqueda local (libre),0.61,0 days 04:12:56,0.8172,0.833,0.8172,0.8129,100,0.6226,0.3295,0.3429,0.3276
busqueda local (libre),0.63,0 days 02:36:50,0.836,0.8443,0.836,0.8277,100,0.6345,0.3333,0.3308,0.3358
busqueda local (libre),0.67,0 days 03:06:04,0.8387,0.8453,0.8387,0.8331,100,0.6492,0.3301,0.3484,0.3215
busqueda local (libre),0.71,0 days 03:18:16,0.8306,0.8493,0.8306,0.8242,100,0.7385,0.3267,0.3299,0.3434
busqueda local (libre),0.85,0 days 03:49:48,0.8199,0.8371,0.8199,0.8156,100,0.8571,0.3361,0.3301,0.3338
busqueda local (libre),0.87,0 days 04:32:32,0.8226,0.8422,0.8226,0.8176,100,0.8833,0.3347,0.3329,0.3324
genetico,0.1,0 days 00:31:55,0.8844,0.8861,0.8844,0.8838,100,0.1,0.3968,0.3254,0.2778
genetico,0.25,0 days 01:04:57,0.8414,0.8429,0.8414,0.8367,100,0.25,0.3444,0.3143,0.3413
genetico,0.5,0 days 01:56:19,0.8253,0.8479,0.8253,0.8146,100,0.5,0.3397,0.331,0.3294
genetico,0.75,0 days 02:53:42,0.8414,0.8498,0.8414,0.8366,100,0.75,0.3307,0.3323,0.337
genetico2,0.1,0 days 00:30:23,0.8763,0.877,0.8763,0.8762,100,0.1,0.381,0.3492,0.2698
genetico2,0.25,0 days 01:03:28,0.8602,0.8643,0.8602,0.8559,100,0.25,0.346,0.327,0.327
genetico2,0.5,0 days 01:58:38,0.8226,0.8388,0.8226,0.8137,100,0.5,0.3484,0.3206,0.331
genetico2,0.75,0 days 02:47:30,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
genetico2 (libre),0.1,0 days 00:29:07,0.8925,0.8965,0.8925,0.8925,100,0.071,0.419,0.3352,0.2458
genetico2 (libre),0.25,0 days 01:29:07,0.8333,0.8358,0.8333,0.8288,100,0.2282,0.3513,0.327,0.3217
genetico2 (libre),0.5,0 days 01:20:27,0.871,0.882,0.871,0.8667,100,0.2726,0.3581,0.329,0.313
genetico2 (libre),0.75,0 days 03:08:14,0.8306,0.84,0.8306,0.8226,100,0.6361,0.35,0.3144,0.3356
genetico3,0.1,0 days 00:31:22,0.8763,0.8772,0.8763,0.8747,100,0.1,0.373,0.3214,0.3056
genetico3,0.25,0 days 01:05:04,0.8737,0.876,0.8737,0.8696,100,0.25,0.3524,0.346,0.3016
genetico3,0.5,0 days 02:02:02,0.8253,0.8362,0.8253,0.8206,100,0.5,0.3349,0.3341,0.331
genetico3,0.75,0 days 02:55:17,0.8414,0.8476,0.8414,0.8373,100,0.75,0.3296,0.336,0.3344
memetico,0.1,0 days 00:30:42,0.9032,0.9048,0.9032,0.9011,100,0.1,0.3651,0.3214,0.3135
memetico,0.25,0 days 00:50:00,0.8414,0.8486,0.8414,0.8354,100,0.25,0.327,0.3048,0.3683
memetico,0.5,0 days 01:58:26,0.8226,0.8377,0.8226,0.8141,100,0.5,0.3317,0.3262,0.3421
memetico,0.75,0 days 02:47:37,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
