,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Airplane,Porcentaje Automobile,Porcentaje Bird,Porcentaje Cat,Porcentaje Deer,Porcentaje Dog,Porcentaje Frog,Porcentaje Horse,Porcentaje Ship,Porcentaje Truck
0,100%,1.0,0 days 00:16:12,0.7776,0.7789,0.7776,0.7776,1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,100%,1.0,0 days 00:16:40,0.7785,0.7788,0.7785,0.7782,1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,100%,1.0,0 days 00:23:42,0.7743,0.7769,0.7743,0.7731,1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,100%,1.0,0 days 00:23:38,0.7773,0.7761,0.7773,0.7752,1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,GA-AM,0.1,0 days 03:10:52,0.7441,0.7465,0.7441,0.7446,100,0.1,0.1036,0.1032,0.1,0.0942,0.1044,0.0974,0.1016,0.0998,0.0948,0.101
1,GA-AM,0.25,0 days 07:02:49,0.7636,0.7642,0.7636,0.7631,100,0.25,0.1003,0.102,0.1017,0.099,0.1,0.1001,0.1004,0.0995,0.0978,0.0992
2,GA-AM,0.5,0 days 13:30:33,0.7741,0.7735,0.7741,0.7734,100,0.5,0.1002,0.102,0.0998,0.1006,0.0973,0.0997,0.1021,0.1007,0.0977,0.0998
3,GA-AM,0.75,0 days 19:54:52,0.7793,0.7797,0.7793,0.7787,100,0.75,0.1004,0.0996,0.0995,0.0997,0.0997,0.1005,0.1,0.0991,0.1009,0.1006
0,GA-AM,0.1,0 days 03:16:55,0.7438,0.7479,0.7438,0.7445,100,0.1,0.101,0.0968,0.1026,0.0962,0.1008,0.0946,0.1048,0.1038,0.1018,0.0976
1,GA-AM,0.25,0 days 07:15:38,0.7631,0.7644,0.7631,0.763,100,0.25,0.0986,0.0992,0.1048,0.0967,0.0964,0.1022,0.1014,0.0998,0.101,0.0998
2,GA-AM,0.5,0 days 13:56:20,0.7756,0.7751,0.7756,0.775,100,0.5,0.0984,0.1024,0.1024,0.0998,0.0987,0.0982,0.0991,0.1,0.1013,0.0999
3,GA-AM,0.75,0 days 20:34:17,0.7791,0.7785,0.7791,0.7781,100,0.75,0.1018,0.0998,0.0998,0.1001,0.0991,0.0998,0.1022,0.0984,0.0996,0.0995
0,GA-AM,0.1,0 days 04:37:46,0.7425,0.7452,0.7425,0.7424,100,0.1,0.0976,0.0984,0.1054,0.1018,0.0994,0.0992,0.1046,0.095,0.1026,0.096
1,GA-AM,0.25,0 days 10:20:30,0.7627,0.7641,0.7627,0.7631,100,0.25,0.0979,0.0975,0.1022,0.1016,0.1023,0.0964,0.0996,0.0998,0.1009,0.1018
2,GA-AM,0.5,0 days 19:46:47,0.7749,0.7739,0.7749,0.774,100,0.5,0.1,0.0986,0.1021,0.101,0.101,0.0988,0.1004,0.0977,0.1011,0.0994
3,GA-AM,0.75,1 days 05:36:23,0.7804,0.7804,0.7804,0.7799,100,0.75,0.0998,0.0996,0.0999,0.1002,0.1006,0.1005,0.1009,0.1002,0.099,0.0994
0,GA-AM,0.1,0 days 04:36:08,0.744,0.7452,0.744,0.7441,100,0.1,0.0998,0.0974,0.1056,0.0992,0.101,0.098,0.0992,0.102,0.1016,0.0962
1,GA-AM,0.25,0 days 10:16:19,0.7644,0.7641,0.7644,0.7636,100,0.25,0.1,0.0931,0.1022,0.0966,0.1047,0.0967,0.1,0.1042,0.103,0.0994
2,GA-AM,0.5,0 days 19:41:55,0.7759,0.7768,0.7759,0.7755,100,0.5,0.0994,0.1013,0.1031,0.0986,0.0994,0.0986,0.1024,0.0975,0.0989,0.1008
3,GA-AM,0.75,1 days 05:06:25,0.7802,0.7803,0.7802,0.7801,100,0.75,0.0991,0.0981,0.0993,0.1013,0.1001,0.0994,0.1019,0.0995,0.101,0.1002
0,GA-AM-F,0.1,0 days 03:10:42,0.7441,0.7465,0.7441,0.7446,100,0.1,0.1036,0.1032,0.1,0.0942,0.1044,0.0974,0.1016,0.0998,0.0948,0.101
1,GA-AM-F,0.25,0 days 07:02:54,0.7636,0.7642,0.7636,0.7631,100,0.25,0.1003,0.102,0.1017,0.099,0.1,0.1001,0.1004,0.0995,0.0978,0.0992
2,GA-AM-F,0.5,0 days 13:31:34,0.7741,0.7735,0.7741,0.7734,100,0.5,0.1002,0.102,0.0998,0.1006,0.0973,0.0997,0.1021,0.1007,0.0977,0.0998
3,GA-AM-F,0.75,0 days 19:57:10,0.7793,0.7797,0.7793,0.7787,100,0.75,0.1004,0.0996,0.0995,0.0997,0.0997,0.1005,0.1,0.0991,0.1009,0.1006
0,GA-AM-F,0.1,0 days 03:16:43,0.7438,0.7479,0.7438,0.7445,100,0.1,0.101,0.0968,0.1026,0.0962,0.1008,0.0946,0.1048,0.1038,0.1018,0.0976
1,GA-AM-F,0.25,0 days 07:15:41,0.7631,0.7644,0.7631,0.763,100,0.25,0.0986,0.0992,0.1048,0.0967,0.0964,0.1022,0.1014,0.0998,0.101,0.0998
2,GA-AM-F,0.5,0 days 13:56:49,0.7756,0.7751,0.7756,0.775,100,0.5,0.0984,0.1024,0.1024,0.0998,0.0987,0.0982,0.0991,0.1,0.1013,0.0999
