Algoritmo,Porcentaje Inicial,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Airplane,Porcentaje Automobile,Porcentaje Bird,Porcentaje Cat,Porcentaje Deer,Porcentaje Dog,Porcentaje Frog,Porcentaje Horse,Porcentaje Ship,Porcentaje Truck,Duracion
100%,1.0,0.776925,0.777675,0.776925,0.776025,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0 days 00:20:03
GA-AM,0.1,0.7436,0.7462,0.7436,0.7439,100.0,0.1,0.1005,0.09895,0.10339999999999999,0.09784999999999999,0.1014,0.0973,0.10255,0.10015,0.1002,0.09770000000000001,0 days 03:55:25.250000
GA-AM,0.25,0.76345,0.7642,0.76345,0.7632,100.0,0.25,0.0992,0.09795,0.102725,0.09847500000000001,0.10085,0.09885,0.10035,0.100825,0.100675,0.10005,0 days 08:43:49
GA-AM,0.5,0.7751250000000001,0.774825,0.7751250000000001,0.774475,100.0,0.5,0.0995,0.101075,0.10185,0.1,0.0991,0.098825,0.101,0.09897500000000001,0.09975,0.09997500000000001,0 days 16:43:53.750000
GA-AM,0.75,0.7797499999999999,0.779725,0.7797499999999999,0.7792,100.0,0.75,0.100275,0.099275,0.099625,0.100325,0.09987499999999999,0.10005,0.10125,0.0993,0.100125,0.099925,1 days 00:47:59.250000
GA-AM-F,0.1,0.7436,0.7462,0.7436,0.7439,100.0,0.1,0.1005,0.09895,0.10339999999999999,0.09784999999999999,0.1014,0.0973,0.10255,0.10015,0.1002,0.09770000000000001,0 days 03:56:59.250000
GA-AM-F,0.25,0.76345,0.7642,0.76345,0.7632,100.0,0.25,0.0992,0.09795,0.102725,0.09847500000000001,0.10085,0.09885,0.10035,0.100825,0.100675,0.10005,0 days 08:51:16.750000
GA-AM-F,0.5,0.7751250000000001,0.774825,0.7751250000000001,0.774475,100.0,0.5,0.0995,0.101075,0.10185,0.1,0.0991,0.098825,0.101,0.09897500000000001,0.09975,0.09997500000000001,0 days 16:51:46
GA-AM-F,0.75,0.7797499999999999,0.779725,0.7797499999999999,0.7792,100.0,0.75,0.100275,0.099275,0.099625,0.100325,0.09987499999999999,0.10005,0.10125,0.0993,0.100125,0.099925,1 days 00:56:58.750000
MA,0.1,0.7429749999999999,0.7465,0.7429749999999999,0.743125,100.0,0.1,0.09915,0.0987,0.0999,0.10364999999999999,0.0991,0.09955,0.09595000000000001,0.1,0.10395,0.10005,0 days 03:58:21
MA,0.25,0.7633,0.764525,0.7633,0.7631749999999999,100.0,0.25,0.100675,0.0984,0.10072500000000001,0.097875,0.100525,0.09955,0.09947500000000001,0.103025,0.100075,0.09962499999999999,0 days 08:47:13.250000
MA,0.5,0.7748,0.775625,0.7748,0.7743,100.0,0.5,0.0999,0.09945,0.0996,0.098775,0.0996,0.099525,0.1013,0.10062499999999999,0.10065,0.100575,0 days 16:49:57.750000
MA,0.75,0.779325,0.779775,0.779325,0.778875,100.0,0.75,0.099575,0.10025,0.099525,0.10072500000000001,0.1004,0.0999,0.10015,0.099825,0.099875,0.09985,1 days 00:51:27.250000
MA-F,0.1,0.7429749999999999,0.7465,0.7429749999999999,0.743125,100.0,0.1,0.09915,0.0987,0.0999,0.10364999999999999,0.0991,0.09955,0.09595000000000001,0.1,0.10395,0.10005,0 days 03:58:34.500000
MA-F,0.25,0.7633,0.764525,0.7633,0.7631749999999999,100.0,0.25,0.100675,0.0984,0.10072500000000001,0.097875,0.100525,0.09955,0.09947500000000001,0.103025,0.100075,0.09962499999999999,0 days 08:49:56.500000
MA-F,0.5,0.7748,0.775625,0.7748,0.7743,100.0,0.5,0.0999,0.09945,0.0996,0.098775,0.0996,0.099525,0.1013,0.10062499999999999,0.10065,0.100575,0 days 16:46:06.750000
MA-F,0.75,0.779325,0.779775,0.779325,0.778875,100.0,0.75,0.099575,0.10025,0.099525,0.10072500000000001,0.1004,0.0999,0.10015,0.099825,0.099875,0.09985,1 days 00:42:46
