Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Airplane,Porcentaje Automobile,Porcentaje Bird,Porcentaje Cat,Porcentaje Deer,Porcentaje Dog,Porcentaje Frog,Porcentaje Horse,Porcentaje Ship,Porcentaje Truck
100%,1.0,0 days 00:16:40,0.7785,0.7788,0.7785,0.7782,1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
GA-AM,0.1,0 days 03:10:52,0.7441,0.7465,0.7441,0.7446,100,0.1,0.1036,0.1032,0.1,0.0942,0.1044,0.0974,0.1016,0.0998,0.0948,0.101
GA-AM,0.25,0 days 10:16:19,0.7644,0.7641,0.7644,0.7636,100,0.25,0.1,0.0931,0.1022,0.0966,0.1047,0.0967,0.1,0.1042,0.103,0.0994
GA-AM,0.5,0 days 19:41:55,0.7759,0.7768,0.7759,0.7755,100,0.5,0.0994,0.1013,0.1031,0.0986,0.0994,0.0986,0.1024,0.0975,0.0989,0.1008
GA-AM,0.75,1 days 05:36:23,0.7804,0.7804,0.7804,0.7799,100,0.75,0.0998,0.0996,0.0999,0.1002,0.1006,0.1005,0.1009,0.1002,0.099,0.0994
GA-AM-F,0.1,0 days 03:10:42,0.7441,0.7465,0.7441,0.7446,100,0.1,0.1036,0.1032,0.1,0.0942,0.1044,0.0974,0.1016,0.0998,0.0948,0.101
GA-AM-F,0.25,0 days 10:28:30,0.7644,0.7641,0.7644,0.7636,100,0.25,0.1,0.0931,0.1022,0.0966,0.1047,0.0967,0.1,0.1042,0.103,0.0994
GA-AM-F,0.5,0 days 19:44:40,0.7759,0.7768,0.7759,0.7755,100,0.5,0.0994,0.1013,0.1031,0.0986,0.0994,0.0986,0.1024,0.0975,0.0989,0.1008
GA-AM-F,0.75,1 days 05:57:26,0.7804,0.7804,0.7804,0.7799,100,0.75,0.0998,0.0996,0.0999,0.1002,0.1006,0.1005,0.1009,0.1002,0.099,0.0994
MA,0.1,0 days 03:18:35,0.7445,0.7483,0.7445,0.7449,100,0.1,0.102,0.0938,0.1002,0.0986,0.0972,0.0978,0.0956,0.1112,0.1074,0.0962
MA,0.25,0 days 10:18:59,0.7644,0.7641,0.7644,0.7636,100,0.25,0.1,0.0931,0.1022,0.0966,0.1047,0.0967,0.1,0.1042,0.103,0.0994
MA,0.5,0 days 13:57:04,0.7763,0.7769,0.7763,0.7755,100,0.5,0.1027,0.0994,0.1021,0.0997,0.0999,0.0999,0.0982,0.1006,0.0971,0.1005
MA,0.75,1 days 05:45:14,0.7803,0.7813,0.7803,0.7802,100,0.75,0.0993,0.0999,0.1003,0.101,0.1002,0.0999,0.101,0.0993,0.0994,0.0998
MA-F,0.1,0 days 03:18:31,0.7445,0.7483,0.7445,0.7449,100,0.1,0.102,0.0938,0.1002,0.0986,0.0972,0.0978,0.0956,0.1112,0.1074,0.0962
MA-F,0.25,0 days 10:24:49,0.7644,0.7641,0.7644,0.7636,100,0.25,0.1,0.0931,0.1022,0.0966,0.1047,0.0967,0.1,0.1042,0.103,0.0994
MA-F,0.5,0 days 13:56:51,0.7763,0.7769,0.7763,0.7755,100,0.5,0.1027,0.0994,0.1021,0.0997,0.0999,0.0999,0.0982,0.1006,0.0971,0.1005
MA-F,0.75,1 days 05:19:24,0.7803,0.7813,0.7803,0.7802,100,0.75,0.0993,0.0999,0.1003,0.101,0.1002,0.0999,0.101,0.0993,0.0994,0.0998
