,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture
0,MEM,0.25,0 days 03:12:35,0.9182,0.9151,0.9182,0.9159,100,0.25,0.1425,0.1031,0.2684,0.2482,0.2378
1,MEM,0.5,0 days 06:15:33,0.9252,0.9235,0.9252,0.924,100,0.5,0.1536,0.0966,0.2611,0.2684,0.2202
0,MEM,0.25,0 days 03:24:01,0.9194,0.9175,0.9194,0.9181,100,0.25,0.1492,0.1031,0.2741,0.2482,0.2254
1,MEM,0.5,0 days 06:36:31,0.9276,0.9264,0.9276,0.9267,100,0.5,0.1484,0.0969,0.2692,0.2614,0.2241
0,MEM,0.25,0 days 03:25:25,0.9206,0.9173,0.9206,0.9177,100,0.25,0.1456,0.1073,0.2694,0.2637,0.214
1,MEM,0.5,0 days 06:43:17,0.9276,0.9254,0.9276,0.9261,100,0.5,0.1456,0.0982,0.2725,0.2637,0.2199
0,MEM,0.25,0 days 03:19:36,0.9171,0.9144,0.9171,0.9146,100,0.25,0.142,0.0959,0.2637,0.2751,0.2233
1,MEM,0.5,0 days 06:30:05,0.9311,0.9321,0.9311,0.931,100,0.5,0.1435,0.0992,0.2692,0.2567,0.2313
0,MEM,0.25,0 days 03:14:11,0.9194,0.917,0.9194,0.9174,100,0.25,0.1389,0.0948,0.2725,0.2544,0.2394
1,MEM,0.5,0 days 06:06:05,0.9252,0.9232,0.9252,0.9235,100,0.5,0.1477,0.1034,0.2617,0.2666,0.2207
