,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
0,RS,0.25,0 days 01:25:29,0.8737,0.884,0.8737,0.8735,100,0.25,0.346,0.3302,0.3238
1,RS,0.5,0 days 02:18:44,0.8763,0.886,0.8763,0.8739,100,0.5,0.3421,0.3246,0.3333
2,RS,0.1,0 days 01:32:11,0.8522,0.8669,0.8522,0.8501,100,0.1,0.3571,0.3413,0.3016
3,RS,0.75,0 days 04:12:21,0.9059,0.9128,0.9059,0.9045,100,0.75,0.3354,0.3254,0.3392
0,RS,0.25,0 days 01:25:29,0.8629,0.8689,0.8629,0.8599,100,0.25,0.346,0.3508,0.3032
1,RS,0.5,0 days 02:18:26,0.8952,0.9033,0.8952,0.8941,100,0.5,0.319,0.3373,0.3437
2,RS,0.1,0 days 01:29:43,0.8522,0.8605,0.8522,0.851,100,0.1,0.3254,0.3214,0.3532
3,RS,0.75,0 days 04:00:22,0.9032,0.9081,0.9032,0.9014,100,0.75,0.3413,0.3381,0.3206
0,RS,0.25,0 days 01:39:05,0.8737,0.8798,0.8737,0.8717,100,0.25,0.3222,0.3524,0.3254
1,RS,0.5,0 days 02:53:54,0.8817,0.8923,0.8817,0.8791,100,0.5,0.3405,0.323,0.3365
2,RS,0.1,0 days 01:32:14,0.8495,0.8645,0.8495,0.8479,100,0.1,0.3294,0.3532,0.3175
3,RS,0.75,0 days 04:12:22,0.8952,0.896,0.8952,0.8944,100,0.75,0.3291,0.3339,0.337
0,RS,0.25,0 days 01:36:07,0.8629,0.8768,0.8629,0.8591,100,0.25,0.319,0.346,0.3349
1,RS,0.5,0 days 02:43:27,0.8817,0.8928,0.8817,0.8792,100,0.5,0.3397,0.3349,0.3254
2,RS,0.1,0 days 01:29:41,0.8441,0.8572,0.8441,0.8437,100,0.1,0.3333,0.3056,0.3611
3,RS,0.75,0 days 04:05:08,0.8844,0.8952,0.8844,0.881,100,0.75,0.336,0.3265,0.3376
0,RS,0.25,0 days 01:15:01,0.8898,0.8972,0.8898,0.887,100,0.25,0.3302,0.3429,0.327
1,RS,0.5,0 days 02:01:53,0.8898,0.901,0.8898,0.8885,100,0.5,0.327,0.3333,0.3397
2,RS,0.1,0 days 00:44:16,0.8602,0.866,0.8602,0.8584,100,0.1,0.3254,0.3254,0.3492
3,RS,0.75,0 days 02:53:13,0.9059,0.9144,0.9059,0.9036,100,0.75,0.3307,0.346,0.3233
