Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
-,1.0,0:02:13,0.7876344086021505,0.8108463443439279,0.7876344086021505,0.7781973764257467,1,1.0,0.33333334,0.33333334,0.33333334
aleatorio,0.1,0:27:08,0.793010752688172,0.7938572751656864,0.793010752688172,0.7879112570678468,101,0.1,0.37301588,0.24603175,0.3809524
aleatorio,0.25,0:53:53,0.803763440860215,0.8179271708683473,0.803763440860215,0.7993292116216106,101,0.25,0.35079366,0.3015873,0.34761906
aleatorio,0.5,1:39:35,0.7903225806451613,0.8110997583483351,0.7903225806451613,0.7810194449333018,101,0.5,0.33730158,0.3436508,0.31904763
aleatorio,0.75,2:24:33,0.7983870967741935,0.8255002668761393,0.7983870967741935,0.7934176073710957,101,0.75,0.33280423,0.33174604,0.33544973
busqueda local,0.1,0:26:36,0.8145161290322581,0.8271825536267873,0.8145161290322581,0.8056641583785564,101,0.1,0.31746033,0.3531746,0.32936507
busqueda local,0.25,0:53:37,0.8198924731182796,0.8293996610990075,0.8198924731182796,0.8157201104256337,101,0.25,0.34285715,0.33492064,0.32222223
busqueda local,0.5,1:38:32,0.8010752688172043,0.8123444002253357,0.8010752688172043,0.7961582320158039,101,0.5,0.34444445,0.31984127,0.33571428
busqueda local,0.75,2:24:32,0.8064516129032258,0.8231991252894264,0.8064516129032258,0.8004277864791236,101,0.75,0.321164,0.33862433,0.34021163
genetico,0.1,0:26:58,0.8279569892473119,0.8364934363094867,0.8279569892473119,0.8240384001022298,101,0.1,0.35714287,0.32142857,0.32142857
genetico,0.25,0:53:51,0.8413978494623656,0.8441732804232804,0.8413978494623656,0.8358849811988498,101,0.25,0.37619048,0.31587303,0.30793652
genetico,0.5,1:38:35,0.8145161290322581,0.830031921406751,0.8145161290322581,0.8058588204929668,101,0.5,0.35396826,0.33174604,0.31428573
genetico,0.75,2:24:18,0.8172043010752689,0.8420513768837826,0.8172043010752689,0.812468386255796,101,0.75,0.33439153,0.33227512,0.33333334
memetico,0.1,0:26:42,0.8360215053763441,0.8488809145799872,0.8360215053763441,0.8281270351778932,101,0.1,0.3452381,0.29761904,0.35714287
memetico,0.25,0:53:41,0.8279569892473119,0.8312974918964876,0.8279569892473119,0.8222241119448036,101,0.25,0.36507937,0.32857144,0.30634922
memetico,0.5,1:39:03,0.7956989247311828,0.818464370803552,0.7956989247311828,0.78863595804616,101,0.5,0.33174604,0.33492064,0.33333334
memetico,0.75,2:24:12,0.8064516129032258,0.827431289640592,0.8064516129032258,0.8013984563392942,101,0.75,0.31904763,0.34338623,0.33756614
genetico2,0.1,0:26:50,0.8252688172043011,0.8242536386866284,0.8252688172043011,0.8192767383530768,101,0.1,0.34126985,0.2857143,0.37301588
genetico2,0.25,0:53:42,0.8225806451612904,0.8292957042957043,0.8225806451612904,0.8150910262727271,101,0.25,0.35079366,0.32380953,0.32539684
genetico2,0.5,1:39:03,0.793010752688172,0.811724248565279,0.793010752688172,0.7853031103784771,101,0.5,0.35,0.31190476,0.33809525
genetico2,0.75,2:24:56,0.8064516129032258,0.8306927617272445,0.8064516129032258,0.8018646037277185,101,0.75,0.32222223,0.34761906,0.33015874
genetico3,0.1,0:26:46,0.8252688172043011,0.8254912467564346,0.8252688172043011,0.8194136897197458,110,0.1,0.38492063,0.2579365,0.35714287
genetico3,0.25,0:53:37,0.8172043010752689,0.8229138463905644,0.8172043010752689,0.8124632557345886,101,0.25,0.33809525,0.35396826,0.30793652
genetico3,0.5,1:40:13,0.7956989247311828,0.8165602383993189,0.7956989247311828,0.7905105184345669,109,0.5,0.34285715,0.32777777,0.32936507
genetico3,0.75,2:24:09,0.8064516129032258,0.8306927617272445,0.8064516129032258,0.8018646037277185,110,0.75,0.32222223,0.34761906,0.33015874
