Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
aleatorio,100,00:02:27,"76,08 %","79,97 %","76,08 %","75,61 %",1,100,"33,33","33,33","33,33"
,,,,,,,,,,,
Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
aleatorio,10,00:06:48,"79,57 %","81,87 %","79,57 %","78,65 %",23,10,"35,71","31,75","32,54"
aleatorio,20,00:10:08,"80,38 %","82,10 %","80,38 %","79,37 %",20,20,"33,53","29,17","37,3"
aleatorio,50,00:22:55,"80,11 %","83,11 %","80,11 %","79,45 %",20,50,"32,86","32,86","34,29"
,,,,,,,,,,,
Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
busqueda local,10,00:08:19,"75,27 %","78,35 %","75,27 %","73,86 %",28,10,"33,33","39,29","27,38"
busqueda local,20,00:12:42,"77,69 %","79,77 %","77,69 %","77,13 %",25,20,"32,94","36,11","30,95"
busqueda local,50,00:36:36,"78,76 %","81,76 %","78,76 %","78,31 %",32,50,"33,65","33,25","33,1"
,,,,,,,,,,,
Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
genetico,10,00:29:45,"82,80 %","84,72 %","82,80 %","81,81 %",100,10,"34,13","30,16","35,71"
genetico,20,00:50:47,"82,80 %","83,34 %","82,80 %","82,16 %",100,20,"34,92","30,56","34,52"
genetico,50,01:54:29,"80,65 %","83,31 %","80,65 %","79,80 %",100,50,"33,73","32,54","33,73"
