Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final
100%,1.0,0:02:22,0.8010752688172043,0.8155197293128328,0.8010752688172043,0.7943209557450963,1,0.86094975
RS,0.1,0:26:05,0.7983870967741935,0.8003570775629599,0.7983870967741935,0.7884058284995644,100,0.086094975
RS,0.25,0:53:54,0.8091397849462365,0.8253035561449545,0.8091397849462365,0.8018648508766254,100,0.21523744
RS,0.5,1:44:36,0.8010752688172043,0.8224118837591171,0.8010752688172043,0.7946638946638946,100,0.43047488
RS,0.75,2:24:27,0.8198924731182796,0.8396716566866267,0.8198924731182796,0.811796610334607,100,0.6457123
LR,0.1,0:25:25,0.8091397849462365,0.8062051282051282,0.8091397849462365,0.8042712937300157,100,0.086094975
LR,0.25,0:52:41,0.8387096774193549,0.8534623696756206,0.8387096774193549,0.8339723693752875,100,0.21523744
LR,0.5,1:41:19,0.803763440860215,0.8244147803302163,0.803763440860215,0.7982332923841112,100,0.43047488
LR,0.75,2:27:55,0.8198924731182796,0.8300349234408932,0.8198924731182796,0.8130390512684276,100,0.6457123
GEN,0.1,0:26:43,0.8091397849462365,0.8399685282038223,0.8091397849462365,0.7940304795874491,100,0.086094975
GEN,0.25,0:52:45,0.8252688172043011,0.831495417156199,0.8252688172043011,0.8194448682865356,100,0.21523744
GEN,0.5,1:38:31,0.8010752688172043,0.8224118837591171,0.8010752688172043,0.7946638946638946,100,0.43047488
GEN,0.75,2:24:18,0.8279569892473119,0.8431056509975756,0.8279569892473119,0.8196840413679899,100,0.6457123
MEM,0.1,0:26:06,0.8010752688172043,0.806341122984888,0.8010752688172043,0.790435719510083,100,0.086094975
MEM,0.25,0:53:37,0.8360215053763441,0.8416686512661744,0.8360215053763441,0.8319873081976153,100,0.21523744
MEM,0.5,1:36:40,0.8091397849462365,0.8289443513537349,0.8091397849462365,0.8037752635673902,100,0.43047488
MEM,0.75,2:20:55,0.8172043010752689,0.8315633006708522,0.8172043010752689,0.8064252913106178,100,0.6457123
WC,0.1,0:25:42,0.8440860215053764,0.8457773888630625,0.8440860215053764,0.8390662739261412,100,0.086094975
WC,0.25,0:52:23,0.8360215053763441,0.8441578926613825,0.8360215053763441,0.8328267477203647,100,0.21523744
WC,0.5,1:37:13,0.8225806451612904,0.8419776864592917,0.8225806451612904,0.8189131570996844,100,0.43047488
WC,0.75,2:21:30,0.8198924731182796,0.8352362940132623,0.8198924731182796,0.8132125584358484,100,0.6457123
PR,0.1,0:25:40,0.8172043010752689,0.8240097457422686,0.8172043010752689,0.8083111966823587,100,0.086094975
PR,0.25,0:53:08,0.8198924731182796,0.8272017409114183,0.8198924731182796,0.8136187361791885,100,0.21523744
PR,0.5,1:37:19,0.8118279569892473,0.8278678984533838,0.8118279569892473,0.8063392381782102,109,0.43047488
PR,0.75,2:23:20,0.8225806451612904,0.8404073475479379,0.8225806451612904,0.8102024479519944,100,0.6457123
