Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
aleatorio,10,0:16:19.115596,0.7903225806451613,0.7998975822291126,0.7903225806451613,0.7857612963055512,27,10.0,34.52381,32.539684,32.93651
aleatorio,20,0:16:41.391539,0.8279569892473119,0.8507657635863326,0.8279569892473119,0.8264955220129434,17,20.0,34.52381,28.373016,37.103176
aleatorio,50,0:55:41.580500,0.8279569892473119,0.8518674136321196,0.8279569892473119,0.8253472570188644,26,50.0,32.93651,34.84127,32.22222
aleatorio,100,1:54:43.881992,0.8494623655913979,0.8735320686540198,0.8494623655913979,0.8446033800791083,28,100.0,33.333332,33.333332,33.333332
busqueda local,10,0:10:02.912929,0.6290322580645161,0.7012666963685126,0.6290322580645161,0.6105009348726473,17,10.0,32.142857,40.873016,26.984127
busqueda local,20,0:10:59.434906,0.7956989247311828,0.8354675630431448,0.7956989247311828,0.7926138305201201,11,20.0,32.142857,36.904762,30.952381
busqueda local,50,0:25:51.571327,0.8521505376344086,0.8705841076267905,0.8521505376344086,0.8505193174684701,12,50.0,33.412697,33.333332,33.253967
busqueda local,100,1:54:59.962866,0.8494623655913979,0.8735320686540198,0.8494623655913979,0.8446033800791083,28,100.0,33.333332,33.333332,33.333332
genetico,10,1:00:16.844979,0.7903225806451613,0.808461837307991,0.7903225806451613,0.7875131936730516,100,10.0,32.93651,32.142857,34.920635
genetico,20,1:42:16.923557,0.8682795698924731,0.8775572447447446,0.8682795698924731,0.8659769968593497,100,20.0,36.11111,29.960318,33.92857
genetico,50,3:38:31.580830,0.8629032258064516,0.8845969826667285,0.8629032258064516,0.8627880462731521,100,50.0,34.126984,31.666666,34.20635
genetico,100,6:46:27.595350,0.8897849462365591,0.9011289364230541,0.8897849462365591,0.8884525277702511,100,100.0,33.333332,33.333332,33.333332
