Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
aleatorio,100,0:02:26.570565,0.760752688172043,0.7996790938322005,0.760752688172043,0.7561336330656588,1,100.0,33.333332,33.333332,33.333332
busqueda local,10,0:00:17.759022,0.6881720430107527,0.7370571263071733,0.6881720430107527,0.6708057472214385,1,10.0,31.349207,40.47619,28.174603
busqueda local,20,0:00:30.361553,0.7419354838709677,0.7764814587353011,0.7419354838709677,0.7348420588225824,1,20.0,32.142857,36.904762,30.952381
busqueda local,50,0:01:09.148752,0.760752688172043,0.7956586995708478,0.760752688172043,0.7555799206211808,1,50.0,33.412697,33.49206,33.095238
aleatorio,10,0:00:17.737943,0.6881720430107527,0.7370571263071733,0.6881720430107527,0.6708057472214385,1,10.0,31.349207,40.47619,28.174603
aleatorio,20,0:00:30.311076,0.7419354838709677,0.7764814587353011,0.7419354838709677,0.7348420588225824,1,20.0,32.142857,36.904762,30.952381
aleatorio,50,0:01:08.856851,0.760752688172043,0.7956586995708478,0.760752688172043,0.7555799206211808,1,50.0,33.412697,33.49206,33.095238
genetico,10,0:00:53.325652,0.6881720430107527,0.7370571263071733,0.6881720430107527,0.6708057472214385,3,10.0,31.349207,40.47619,28.174603
genetico,20,0:01:31.304480,0.760752688172043,0.7786464705638909,0.760752688172043,0.752138555791615,3,20.0,33.134922,32.539684,34.325397
genetico,50,0:03:26.130318,0.7956989247311828,0.8177189523491615,0.7956989247311828,0.7888864490313766,3,50.0,33.57143,31.984127,34.444443
